Method,Used Classes
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualMary,
org.apache.commons.codec.language.SoundexTest.testNewInstance3,"Soundex, SoundexTest"
org.apache.commons.codec.binary.HexTest.testDecodeStringOddCharacters,"HexTest, Hex"
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualSusan,
org.apache.commons.codec.language.MetaphoneTest.testLocaleIndependence,
org.apache.commons.codec.binary.Base64Test.testKnownDecodings,"Base64Test, String, Base64"
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualPeter,
org.apache.commons.codec.binary.BinaryCodecTest.testDecodeObject,
org.apache.commons.codec.digest.DigestUtilsTest.testInternalNoSuchAlgorithmException,"DigestUtils, DigestUtilsTest"
org.apache.commons.codec.language.SoundexTest.testNewInstance2,"Soundex, String, SoundexTest"
org.apache.commons.codec.binary.Base64Test.testObjectDecodeWithValidParameter,"Base64Test, String, Base64"
org.apache.commons.codec.net.URLCodecTest.testEncodeStringWithNull,"URLCodec, URLCodecTest"
org.apache.commons.codec.language.CaverphoneTest.testEncodeEmpty,
org.apache.commons.codec.language.MetaphoneTest.testTranslateToJOfDGEOrDGIOrDGY,"Metaphone, MetaphoneTest"
org.apache.commons.codec.language.CaverphoneTest.testEncodeNull,
org.apache.commons.codec.net.BCodecTest.testEncodeDecodeNull,"BCodec, BCodecTest"
org.apache.commons.codec.language.CaverphoneTest.testEncodeWithInvalidObject,
org.apache.commons.codec.net.QCodecTest.testNullInput,"QCodecTest, QCodec"
org.apache.commons.codec.language.SoundexTest.testEncodeIgnoreApostrophes,"Soundex, SoundexTest"
org.apache.commons.codec.digest.DigestUtilsTest.testSha256,"ByteArrayInputStream, DigestUtils, String, DigestUtilsTest"
org.apache.commons.codec.binary.Base64Test.testRfc2045Section6Dot8ChunkSizeDefinition,
org.apache.commons.codec.language.SoundexTest.testEncodeNull,
org.apache.commons.codec.language.SoundexTest.testNewInstance,"Soundex, SoundexTest"
org.apache.commons.codec.binary.HexTest.testDecodeArrayOddCharacters,"HexTest, Hex"
org.apache.commons.codec.binary.HexTest.testEncodeClassCastException,"HexTest, Hex"
org.apache.commons.codec.language.DoubleMetaphoneTest.doubleMetaphoneEqualTest,"StringBuilder, DoubleMetaphone, DoubleMetaphoneTest"
org.apache.commons.codec.binary.BinaryCodecTest.testDecodeObjectException,"BinaryCodec, Object, BinaryCodecTest"
org.apache.commons.codec.net.QuotedPrintableCodecTest.testDecodeWithNullArray,"QuotedPrintableCodec, QuotedPrintableCodecTest"
org.apache.commons.codec.StringEncoderComparatorTest.testComparatorWithSoundex,"Soundex, StringEncoderComparator, StringEncoderComparatorTest"
org.apache.commons.codec.language.MetaphoneTest.testSetMaxLengthWithTruncation,"Metaphone, MetaphoneTest"
org.apache.commons.codec.net.QCodecTest.testEncodeStringWithNull,"QCodecTest, QCodec"
org.apache.commons.codec.language.RefinedSoundexTest.testEncodeNull,
org.apache.commons.codec.net.URLCodecTest.testEncodeDecodeNull,"URLCodec, URLCodecTest"
org.apache.commons.codec.net.QCodecTest.testInvalidEncoding,"QCodecTest, QCodec"
org.apache.commons.codec.language.SoundexTest.testEncodeBasic,"Soundex, SoundexTest"
org.apache.commons.codec.binary.Base64Test.testDecodePadOnlyChunked,"Base64Test, String, Base64"
org.apache.commons.codec.binary.HexTest.testEncodeDecodeRandom,"String, Arrays, HexTest, Random, Hex"
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualAero,
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualWright,
org.apache.commons.codec.binary.Base64Test.testObjectEncodeWithInvalidParameter,"Base64Test, Base64"
org.apache.commons.codec.net.QuotedPrintableCodecTest.testSafeCharEncodeDecode,"QuotedPrintableCodec, QuotedPrintableCodecTest"
org.apache.commons.codec.language.MetaphoneTest.testDiscardOfSilentHAfterG,"Metaphone, MetaphoneTest"
org.apache.commons.codec.net.RFC1522CodecTest.testDecodeInvalid,"RFC1522Codec, RFC1522CodecTest, RFC1522CodecTest$RFC1522TestCodec"
