Method,Used Classes
org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testMerge,"UnrecognizedExtraField, System, ExtraFieldUtilsTest, ZipShort, ExtraFieldUtils, StringBuffer"
org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testClone,"AsiExtraFieldTest, AsiExtraField"
org.apache.commons.compress.archivers.JarTestCase.testJarUnarchive,"ArchiveInputStream, FileOutputStream, File, FileInputStream, IOUtils, ArchiveStreamFactory, OutputStream, JarTestCase, ZipArchiveEntry"
org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromTar,"ArchiveInputStream, ArchiveOutputStream, ChangeSetTestCase, ArrayList, FileOutputStream, List, ChangeSet, File, FileInputStream, ArchiveStreamFactory"
org.apache.commons.compress.archivers.TarTestCase.testTarArchiveCreation,"ArchiveOutputStream, FileOutputStream, TarTestCase, File, TarArchiveEntry, FileInputStream, IOUtils, ArchiveStreamFactory"
org.apache.commons.compress.compressors.GZipTestCase.testGzipUnarchive,"FileOutputStream, File, FileInputStream, IOUtils, CompressorInputStream, GZipTestCase, CompressorStreamFactory"
org.apache.commons.compress.archivers.ZipTestCase.testZipUnarchive,"ArchiveInputStream, FileOutputStream, File, ZipTestCase, FileInputStream, IOUtils, ArchiveStreamFactory, OutputStream, ZipArchiveEntry"
org.apache.commons.compress.compressors.BZip2TestCase.testBzipCreation,"FileOutputStream, BZip2TestCase, File, FileInputStream, IOUtils, CompressorOutputStream, CompressorStreamFactory"
org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testFileSystemRoot,"File, TarArchiveEntry, TarArchiveEntryTest"
org.apache.commons.compress.archivers.TarTestCase.testTarUnarchive,"ArchiveInputStream, FileOutputStream, TarTestCase, File, FileInputStream, TarArchiveEntry, IOUtils, OutputStream, ArchiveStreamFactory"
org.apache.commons.compress.archivers.zip.ZipShortTest.testClone,"ZipShort, ZipShortTest"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra,"ZipArchiveOutputStream, String, UTF8ZipFilesTest, ZipEncodingHelper, ByteBuffer, UnicodePathExtraField, StringBuffer, File, ZipFile, Enumeration, AssertionError, ZipEncoding, ZipArchiveEntry"
