Method,Used Classes
com.google.gson.TypeInfoFactoryTest.testMutliDimensionalTypeVariableArrayField,"Object, TypeInfo, Class, TypeInfoFactoryTest, TypeInfoFactory"
com.google.gson.JsonObjectTest.testReadPropertyWithEmptyStringName,"JsonObject, JsonObjectTest, JsonElement, JsonParser"
com.google.gson.functional.CircularReferenceTest.testSelfReferenceSerialization,"StringBuilder, Object, Gson, CircularReferenceTest, TestTypes$ClassOverridingEquals"
com.google.gson.functional.ParameterizedTypesTest.testParameterizedTypeWithVariableTypeDeserialization,"StringBuilder, ParameterizedTypesTest$15, Object, ArrayList, Arrays, ParameterizedTypesTest$ObjectWithTypeVariables, ParameterizedTypesTest, Gson, Iterable, Integer, Iterator, TypeToken, List"
com.google.gson.functional.ObjectTest.testClassWithTransientFieldsSerialization,"StringBuilder, Object, TestTypes$ClassWithTransientFields, Gson, ObjectTest"
com.google.gson.InnerClassExclusionStrategyTest.testExcludeInnerClassField,"Object, InnerClassExclusionStrategy, InnerClassExclusionStrategyTest, Class, FieldAttributes"
com.google.gson.ExposeAnnotationDeserializationExclusionStrategyTest.testSkipExplicitlySkippedFields,"ExposeAnnotationDeserializationExclusionStrategy, ExposeAnnotationDeserializationExclusionStrategyTest, Class, FieldAttributes"
com.google.gson.functional.EscapingTest.testEscapingQuotesInStringArray,"EscapingTest, Gson"
com.google.gson.functional.ArrayTest.testSingleStringArrayDeserialization,"ArrayTest, Gson"
com.google.gson.functional.PrimitiveTest.testNegativeInfinityFloatSerializationNotSupportedByDefault,"PrimitiveTest, Float, Gson"
com.google.gson.functional.ObjectTest.testBagOfPrimitivesDeserialization,"StringBuilder, TestTypes$BagOfPrimitives, Object, String, Integer, Gson, Boolean, Long, ObjectTest"
com.google.gson.functional.CustomSerializerTest.testSubClassSerializerInvokedForBaseClassFieldsHoldingArrayOfSubClassInstances,"CustomSerializerTest, Iterator, Object, JsonElement, JsonArray, TestTypes$Base, TestTypes$SubSerializer, GsonBuilder, TestTypes$BaseSerializer, Gson, Class, JsonObject, TestTypes$Sub, TestTypes$ClassWithBaseArrayField"
com.google.gson.functional.NamingPolicyTest.testGsonWithUpperCamelCaseSpacesPolicySerialiation,"StringBuilder, Object, NamingPolicyTest, GsonBuilder, TestTypes$StringWrapper, Gson"
com.google.gson.stream.JsonReaderTest.testStringNullIsNotNull,"JsonReader, StringReader, JsonReaderTest"
com.google.gson.functional.CustomTypeAdaptersTest.testCustomAdapterInvokedForCollectionElementDeserialization,"StringBuilder, Iterator, Object, String, JsonElement, CustomTypeAdaptersTest$StringHolder, JsonPrimitive, GsonBuilder, Gson, Set, CustomTypeAdaptersTest, TypeToken, CustomTypeAdaptersTest$12, CustomTypeAdaptersTest$StringHolderTypeAdapter"
com.google.gson.stream.JsonReaderTest.testStrictNonExecutePrefix,"JsonReader, StringReader, JsonReaderTest"
com.google.gson.TypeInfoFactoryTest.testWildcardField,"TypeInfoFactoryTest$8, Object, Class, TypeInfo, TypeInfoFactoryTest, TypeToken, TypeInfoFactory"
com.google.gson.functional.InheritanceTest.testBaseSerializedAsBaseWhenSpecifiedWithExplicitTypeForToJsonMethod,"String, Object, TestTypes$Base, InheritanceTest, Class, Gson, TestTypes$Sub"
com.google.gson.functional.PrettyPrintingTest.testMap,"Map, LinkedHashMap, Gson, PrettyPrintingTest, Integer"
com.google.gson.stream.JsonReaderTest.testPrematureEndOfInput,"JsonReader, StringReader, JsonReaderTest"
com.google.gson.functional.VersioningTest.testVersionedGsonWithUnversionedClassesDeserialization,"StringBuilder, TestTypes$BagOfPrimitives, VersioningTest, Object, String, Integer, GsonBuilder, Gson, Boolean, Long"
com.google.gson.functional.PrettyPrintingTest.testPrettyPrintList,"StringBuilder, TestTypes$BagOfPrimitives, Object, String, Integer, LinkedList, PrettyPrintingTest$1, TypeToken, Gson, PrettyPrintingTest, Boolean, Long, List"
com.google.gson.functional.CollectionTest.testQueueDeserialization,"TypeToken, Queue, Gson, CollectionTest, CollectionTest$7"
com.google.gson.functional.CustomDeserializerTest.testJsonTypeFieldBasedDeserialization,"Object, CustomDeserializerTest$SubTypes[], CustomDeserializerTest, CustomDeserializerTest$1, JsonDeserializationContext, JsonElement, Enum, GsonBuilder, Gson, CustomDeserializerTest$SubTypes, JsonObject"
com.google.gson.functional.SecurityTest.testNonExecutableJsonDeserialization,"GsonBuilder, SecurityTest, Gson"
com.google.gson.functional.StringTest.testEscapedBackslashInStringSerialization,"StringTest, Gson"
com.google.gson.TypeInfoArrayTest.testArrayAsParameterizedTypes,"TypeInfoArrayTest$6, TypeUtils, TypeInfoArrayTest, TypeInfoArray, TypeInfoArrayTest$7, TypeToken"
com.google.gson.functional.ObjectTest.testAnonymousLocalClassesSerialization,"Object, Gson, TestTypes$ClassWithNoFields, ObjectTest, ObjectTest$1"
