Method,Used Classes
com.fasterxml.jackson.databind.misc.TestJSONP.BaseMapTest,
com.fasterxml.jackson.databind.deser.creators.ImplicitNameMatch792Test.testWriteOnly,"ObjectMapper, ImplicitNameMatch792Test$PasswordBean, Object, String, ImplicitNameMatch792Test, Integer"
com.fasterxml.jackson.databind.deser.TestCustomFactory.BaseMapTest,
com.fasterxml.jackson.databind.ser.TestJsonSerialize.testStaticTypingWithArray,"JsonMapper$Builder, Object, TestJsonSerialize$ValueClass, TestJsonSerialize"
com.fasterxml.jackson.databind.deser.filter.TestUnknownPropertyDeserialization.testUnknownHandlingIgnoreWithHandler,"TestUnknownPropertyDeserialization$TestBean, Object, JsonToken, JsonParser, StringBuilder, ObjectMapper, TestUnknownPropertyDeserialization, TestUnknownPropertyDeserialization$MyHandler, DeserializationProblemHandler, StringReader"
com.fasterxml.jackson.databind.introspect.TestPropertyConflicts.testInferredNameConflictsWithSetters,"ObjectMapper, String, AnnotatedMember, TestPropertyConflicts$InferingIntrospector, TestPropertyConflicts, JacksonAnnotationIntrospector"
com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForScalars.BaseMapTest,
com.fasterxml.jackson.databind.deser.TestCustomDeserializers.testCustomBeanDeserializer,"ObjectMapper, TestCustomDeserializers, List"
com.fasterxml.jackson.databind.ser.filter.TestMapFiltering.testMapNullSerialization,"ObjectMapper, HashMap, TestMapFiltering, Map"
com.fasterxml.jackson.databind.ser.TestAutoDetect.testDefaults,"ObjectMapper, Object, TestAutoDetect$FieldBean, TestAutoDetect, TestAutoDetect$MethodBean"
com.fasterxml.jackson.databind.util.TestTokenBuffer.testSimpleWrites,"TokenBuffer, JsonParser, TestTokenBuffer"
com.fasterxml.jackson.databind.format.MapFormatShapeTest.BaseMapTest,
com.fasterxml.jackson.databind.ser.jdk.UntypedSerializationTest.testFromArray,"JsonFactory, Map, LinkedHashMap, JsonParser, UntypedSerializationTest, StringBuilder, ObjectMapper, Integer, ArrayList"
com.fasterxml.jackson.databind.util.ClassUtilTest.testExceptionHelpers,"ClassUtil, RuntimeException, Error, ClassUtilTest"
com.fasterxml.jackson.databind.mixins.TestMixinSerForFields.testMultipleFieldMixIns,"Object, Map, ObjectMapper, TestMixinSerForFields$SubClass, TestMixinSerForFields, TestMixinSerForFields$BaseClass, HashMap"
com.fasterxml.jackson.databind.ser.jdk.CollectionSerializationTest.testCollections,"Collection, JsonFactory, JsonParser, ObjectMapper, LinkedList, TreeSet, Integer, ArrayList, CollectionSerializationTest"
com.fasterxml.jackson.databind.objectid.TestObjectIdDeserialization.testSimpleUUIDForClassRoundTrip,"ObjectMapper, Object, TestObjectIdDeserialization, TestObjectIdDeserialization$UUIDNode"
com.fasterxml.jackson.databind.convert.TestBeanConversions.testIssue11,"Object, Map, Exception, ObjectMapper, Integer, TestBeanConversions, TestBeanConversions$Leaf"
com.fasterxml.jackson.databind.deser.TestValueAnnotations.testOverrideMapContents,"Collection, Object, Map, Iterator, ObjectMapper, TestValueAnnotations, Integer"
com.fasterxml.jackson.databind.type.TestTypeFactory1604.BaseMapTest,
com.fasterxml.jackson.databind.jsontype.ext.ExternalTypeIdTest.testInverseExternalId928,"Object, ExternalTypeIdTest, StringBuilder, ObjectMapper, Class"
com.fasterxml.jackson.databind.ser.jdk.JDKTypeSerializationTest.testCharset,"ObjectMapper, JDKTypeSerializationTest, Charset"
com.fasterxml.jackson.databind.jsontype.TestBaseTypeAsDefault.testPositiveForChild,"ObjectMapper, Object, TestBaseTypeAsDefault, ObjectReader"
com.fasterxml.jackson.databind.jsontype.TestSubtypes.testSubtypesViaModule,"Object, ArrayList, ObjectMapper, TestSubtypes$PropertyBean, TestSubtypes$SuperType, SimpleModule, List, TestSubtypes$SubC, TestSubtypes"
com.fasterxml.jackson.databind.deser.jdk.DateDeserializationTest.testDateUtilRFC1123,"DateFormat, DateDeserializationTest, SimpleDateFormat, StringBuilder, ObjectMapper"
com.fasterxml.jackson.databind.type.TestTypeFactory.testArrays,"JavaType, ArrayType, Class, TestTypeFactory, TypeFactory"
com.fasterxml.jackson.databind.jsonschema.NewSchemaTest.testSimpleNumbers,"NewSchemaTest$3$1$1$1, Object, NewSchemaTest$3, JsonObjectFormatVisitor$Base, NewSchemaTest$3$1, SerializerProvider, BeanProperty, ObjectMapper, JsonSerializer, NewSchemaTest$3$1$1$2, StringBuilder, NewSchemaTest, BeanPropertyWriter, NewSchemaTest$3$1$1, JsonFormatVisitorWrapper$Base"
