Method,Used Classes
com.fasterxml.jackson.dataformat.xml.ser.TestIndentation.testSimpleMap,"Map, XmlMapper, StringBuilder, TestIndentation, String, HashMap"
com.fasterxml.jackson.dataformat.xml.jaxb.AttributesWithJAXBTest.testTwoAttributes,"AttributesWithJAXBTest, Object, JaxbAnnotationIntrospector, XmlMapper, AttributesWithJAXBTest$Jurisdiction, TypeFactory"
com.fasterxml.jackson.dataformat.xml.ser.TestSerialization.testCustomSerializer,"JsonGenerator, XmlMapper, TestSerialization, StdScalarSerializer, StringBuilder, TestSerialization$CustomSerializer, JacksonXmlModule"
com.fasterxml.jackson.dataformat.xml.lists.ListAsObjectTest.testCollection,"Object, ListAsObjectTest, XmlMapper, ListAsObjectTest$Values, List, LinkedList, ListAsObjectTest$Value, ArrayList"
com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest.testSecondLevelAttribute,"XmlFactory, StringWriter, XmlGeneratorTest, QName, ToXmlGenerator"
com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest.testSimplest,"XmlFactory, JsonFactory, XmlParserTest, JsonGenerator, StringWriter, JsonParser"
com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListWithEmptyCData129Test.testListWithEmptyCData,"List, UnwrappedListWithEmptyCData129Test, XmlMapper, StringBuilder"
com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest.testWrappedListBeanDeser,"ListDeserializationTest, Integer, XmlMapper, List"
com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest.testSimpleViaObjectReader,"ObjectMapper, XmlMapper, FormatDetectionTest, ObjectReader"
com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest.testAttrAndElem,"XmlFactory, StringWriter, XmlGeneratorTest, QName, ToXmlGenerator"
com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest.testElementWrapper,"Object, ArrayList, ElementWrapperTest, XmlMapper, JacksonAnnotationIntrospector, XmlJaxbAnnotationIntrospector, ElementWrapperTest$MyPerson, List, ObjectWriter, XmlAnnotationIntrospector$Pair, TypeFactory"
com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr.testIssue19,"String, Object, TestSerializationAttr$Issue19Bean, TestSerializationAttr, XmlMapper"
com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest.testMixedContent,"XmlTextTest, XmlMapper"
