Method,Used Classes
org.apache.commons.math.optimization.general.MinpackTest.testMinpackLinearRank1,"MinpackTest$LinearRank1Function, Object, Arrays, LevenbergMarquardtOptimizer, MinpackTest$MinpackFunction$3, MinpackTest$MinpackFunction$2, MinpackTest$MinpackFunction, VectorialPointValuePair, MinpackTest$MinpackFunction$1, Math, MinpackTest"
org.apache.commons.math.stat.inference.TTestFactoryTest.testOneSampleTTest,
org.apache.commons.math.optimization.general.MinpackTest.testMinpackChebyquad,"Object, Arrays, LevenbergMarquardtOptimizer, MinpackTest$MinpackFunction$3, MinpackTest$ChebyquadFunction, MinpackTest$MinpackFunction$2, MinpackTest$MinpackFunction, VectorialPointValuePair, MinpackTest$MinpackFunction$1, Math, MinpackTest"
org.apache.commons.math.optimization.direct.NelderMeadTest.testPowell,"NelderMeadTest$4, Object, NelderMead, SimpleScalarValueChecker, RealPointValuePair, NelderMeadTest"
org.apache.commons.math.optimization.general.MinpackTest.testMinpackMeyer,"Object, Arrays, LevenbergMarquardtOptimizer, MinpackTest$MinpackFunction$3, MinpackTest$MinpackFunction$2, MinpackTest$MinpackFunction, VectorialPointValuePair, MinpackTest$MinpackFunction$1, MinpackTest$MeyerFunction, Math, MinpackTest"
org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest.testStats,
org.apache.commons.math.complex.ComplexFormatTest.testParseNegativeReal,
org.apache.commons.math.ode.nonstiff.GillStepInterpolatorTest.testSerialization,"ContinuousOutputModel, Iterator, Object, ByteArrayOutputStream, ObjectInputStream, Collection, GillIntegrator, GillStepInterpolatorTest, Random, TestProblem3, ObjectOutputStream, ByteArrayInputStream, Math, TestProblemAbstract"
org.apache.commons.math.stat.descriptive.rank.PercentileTest.testHighPercentile,"PercentileTest, Percentile"
org.apache.commons.math.fraction.BigFractionTest.testReciprocal,"BigFractionTest, BigFraction"
org.apache.commons.math.stat.regression.SimpleRegressionTest.testNaNs,"SimpleRegressionTest, Double, SimpleRegression"
org.apache.commons.math.transform.FastFourierTransformerTest.test2DData,"FastFourierTransformer, FastFourierTransformerTest, Complex"
org.apache.commons.math.linear.decomposition.SingularValueDecompositionImplTest.testAEqualUSVt,"RealMatrix, SingularValueDecompositionImplTest, MatrixUtils, SingularValueDecomposition, SingularValueDecompositionImpl"
org.apache.commons.math.linear.BigMatrixImplTest.testToString,"BigMatrixImplTest, BigMatrixImpl"
org.apache.commons.math.estimation.MinpackTest.testMinpackPowellSingular,"StringBuilder, Object, EstimatedParameter, WeightedMeasurement, Arrays, MinpackTest$MinpackFunction$MinpackMeasurement, LevenbergMarquardtEstimator, MinpackTest$MinpackFunction, MinpackTest$PowellSingularFunction, Math, MinpackTest"
org.apache.commons.math.linear.DenseRealMatrixTest.testGetColumn,"RealMatrix, Double, DenseRealMatrix, DenseRealMatrixTest"
org.apache.commons.math.linear.DenseRealMatrixTest.testOperateLarge,"RealMatrix, Double, DenseRealMatrix, Random, DenseRealMatrixTest"
org.apache.commons.math.stat.StatUtilsTest.testPercentile,"StatUtilsTest, StatUtils"
org.apache.commons.math.linear.MatrixUtilsTest.testCreateRowBigMatrix,"BigMatrixImpl, MatrixUtils, MatrixUtilsTest"
org.apache.commons.math.complex.ComplexFormatTest.testParseDifferentImaginaryChar,
org.apache.commons.math.util.ResizableDoubleArrayTest.testSubstitute,"ResizableDoubleArrayTest, ResizableDoubleArray, DoubleArray"
org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegratorTest.testDecreasingSteps,"TestProblemHandler, Object, TestProblemFactory, AdamsMoultonIntegratorTest, FirstOrderIntegrator, Math, TestProblemAbstract, AdamsMoultonIntegrator"
org.apache.commons.math.distribution.NormalDistributionTest.testDensity,"Double, NormalDistributionImpl, NormalDistributionTest, NormalDistribution"
org.apache.commons.math.analysis.solvers.BrentSolverTest.testSinZero,"BrentSolverTest, Object, UnivariateRealSolver, SinFunction, BrentSolver, SecantSolver"
org.apache.commons.math.complex.ComplexTest.testSubtract,"ComplexTest, Complex"
org.apache.commons.math.geometry.Vector3DTest.testVectorialProducts,"Vector3D, Vector3DTest, Math"
org.apache.commons.math.stat.inference.TTestFactoryTest.testSmallSamples,
org.apache.commons.math.fraction.FractionFormatTest.testFormatImproper,"Fraction, FractionFormat, FractionFormatTest"
org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest.testN0andN1Conditions,
org.apache.commons.math.analysis.polynomials.PolynomialFunctionTest.testLinear,"PolynomialFunction, UnivariateRealFunction, PolynomialFunctionTest"
org.apache.commons.math.analysis.polynomials.PolynomialsUtilsTest.testFirstLegendrePolynomials,"PolynomialsUtils, PolynomialFunction, PolynomialsUtilsTest"
org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest.testMoreEstimatedParametersUnsorted,"Object, EstimatedParameter, LevenbergMarquardtEstimatorTest$LinearProblem, LevenbergMarquardtEstimatorTest$LinearMeasurement, LevenbergMarquardtEstimator, LevenbergMarquardtEstimatorTest, WeightedMeasurement, HashSet"
org.apache.commons.math.linear.decomposition.SingularValueDecompositionImplTest.testMoreColumns,"EigenDecompositionImplTest, SingularValueDecompositionImpl, SingularValueDecomposition, RealMatrix, SingularValueDecompositionImplTest, MatrixUtils, Random, Math"
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest.testNonInversible,"Object, LevenbergMarquardtOptimizerTest, DenseRealMatrix, LevenbergMarquardtOptimizer, LevenbergMarquardtOptimizerTest$LinearProblem$2, RealMatrix, LevenbergMarquardtOptimizerTest$LinearProblem$3, LevenbergMarquardtOptimizerTest$LinearProblem$1, Math, LevenbergMarquardtOptimizerTest$LinearProblem"
org.apache.commons.math.optimization.linear.SimplexSolverTest.testModelWithNoArtificialVars,"SimplexSolverTest, Double, SimplexSolver, LinearConstraint, ArrayList, Collection, LinearObjectiveFunction, RealPointValuePair"
org.apache.commons.math.estimation.EstimatedParameterTest.testBound,"EstimatedParameterTest, EstimatedParameter"
org.apache.commons.math.complex.ComplexTest.testSqrt1z,"ComplexTest, Complex"
org.apache.commons.math.linear.RealMatrixImplTest.testGetRow,"RealMatrix, Double, RealMatrixImplTest, RealMatrixImpl"
org.apache.commons.math.distribution.ExponentialDistributionTest.testInverseCumulativeProbabilityExtremes,ExponentialDistributionTest
org.apache.commons.math.linear.DenseRealMatrixTest.testOperatePremultiplyLarge,"RealMatrix, Double, DenseRealMatrix, Random, DenseRealMatrixTest"
org.apache.commons.math.complex.ComplexTest.testAcosInf,"ComplexTest, Complex"
org.apache.commons.math.stat.descriptive.rank.MaxTest.testNaNs,"Double, MaxTest, Max"
org.apache.commons.math.ConvergenceExceptionTest.testConstructorPatternArguments,"ConvergenceException, Integer, String, ConvergenceExceptionTest"
org.apache.commons.math.analysis.polynomials.PolynomialsUtilsTest.testFirstChebyshevPolynomials,"PolynomialsUtils, PolynomialFunction, PolynomialsUtilsTest"
org.apache.commons.math.complex.ComplexFormatTest.testPositiveInfinity,
org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest.testIncreasingTolerance,"TestProblemHandler, Object, TestProblemAbstract, DormandPrince853IntegratorTest, TestProblem1, DormandPrince853Integrator, Math, FirstOrderIntegrator"
org.apache.commons.math.ode.nonstiff.GillIntegratorTest.testSmallStep,"TestProblemHandler, Object, TestProblemAbstract, GillIntegrator, GillIntegratorTest, TestProblem1, FirstOrderIntegrator"
org.apache.commons.math.util.ResizableDoubleArrayTest.testSetNumberOfElements,"ResizableDoubleArrayTest, ResizableDoubleArray, DoubleArray"
org.apache.commons.math.analysis.polynomials.PolynomialFunctionLagrangeFormTest.testLinearFunction,"PolynomialFunctionLagrangeForm, PolynomialFunctionLagrangeFormTest"
org.apache.commons.math.analysis.interpolation.DividedDifferenceInterpolatorTest.testExpm1Function,"DividedDifferenceInterpolatorTest, DividedDifferenceInterpolator, UnivariateRealFunction, Object, IllegalArgumentException, UnivariateRealInterpolator, Math, Expm1Function"
org.apache.commons.math.linear.decomposition.LUDecompositionImplTest.testLLowerTriangular,"RealMatrix, LUDecompositionImpl, MatrixUtils, LUDecompositionImplTest"
org.apache.commons.math.stat.regression.SimpleRegressionTest.testPerfect,"SimpleRegressionTest, SimpleRegression"
org.apache.commons.math.analysis.polynomials.PolynomialsUtilsTest.testFirstHermitePolynomials,"PolynomialsUtils, PolynomialFunction, PolynomialsUtilsTest"
org.apache.commons.math.analysis.polynomials.PolynomialFunctionNewtonFormTest.testParameters,"PolynomialFunctionNewtonFormTest, PolynomialFunctionNewtonForm"
org.apache.commons.math.linear.DenseRealMatrixTest.testDimensions,"DenseRealMatrixTest, DenseRealMatrix"
org.apache.commons.math.util.MathUtilsTest.testIndicatorInt,"MathUtilsTest, MathUtils"
org.apache.commons.math.linear.decomposition.SingularValueSolverTest.testSolve,"Object, SingularValueDecompositionImpl, RealVectorImplTest$RealVectorTestImpl, RealMatrix, RealVector, UnsupportedOperationException, MatrixUtils, SingularValueSolverTest, DecompositionSolver, RealVectorImpl"
org.apache.commons.math.distribution.PoissonDistributionTest.testMean,"PoissonDistributionTest, PoissonDistribution, PoissonDistributionImpl"
org.apache.commons.math.linear.SparseRealMatrixTest.testGetRowVector,"SparseRealMatrixTest, RealMatrix, RealVectorImpl, SparseRealMatrix"
org.apache.commons.math.complex.ComplexFormatTest.testStaticFormatComplex,
org.apache.commons.math.stat.inference.ChiSquareTestTest.testChiSquareDataSetsComparisonEqualCounts,"UnknownDistributionChiSquareTest, ChiSquareTestTest"
org.apache.commons.math.linear.DenseRealMatrixTest.testAddFail,"DenseRealMatrixTest, DenseRealMatrix"
org.apache.commons.math.fraction.FractionTest.testCompareTo,"Fraction, FractionTest"
org.apache.commons.math.distribution.GammaDistributionTest.testProbabilities,"StringBuilder, GammaDistributionTest, GammaDistribution, GammaDistributionImpl"
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest.testQRColumnsPermutation,"Object, LevenbergMarquardtOptimizerTest, DenseRealMatrix, LevenbergMarquardtOptimizer, LevenbergMarquardtOptimizerTest$LinearProblem$2, RealMatrix, LevenbergMarquardtOptimizerTest$LinearProblem$3, LevenbergMarquardtOptimizerTest$LinearProblem$1, VectorialPointValuePair, LevenbergMarquardtOptimizerTest$LinearProblem"
org.apache.commons.math.util.ResizableDoubleArrayTest.testWithInitialCapacity,"StringBuilder, RandomDataImpl, ResizableDoubleArray, ResizableDoubleArrayTest, RandomData"
org.apache.commons.math.analysis.interpolation.SplineInterpolatorTest.testInterpolateLinearDegenerateTwoSegment,"PolynomialFunction, UnivariateRealFunction, SplineInterpolatorTest, SplineInterpolator, PolynomialSplineFunction, UnivariateRealInterpolator"
org.apache.commons.math.special.ErfTest.testErf2576,"ErfTest, Erf, Math"
org.apache.commons.math.analysis.solvers.LaguerreSolverTest.testLinearFunction,"LaguerreSolver, PolynomialFunction, UnivariateRealSolver, LaguerreSolverTest, Math"
org.apache.commons.math.stat.inference.TTestFactoryTest.testTwoSampleTHeterscedastic,
org.apache.commons.math.util.MathUtilsTest.testMulAndCheckLong,"MathUtilsTest, MathUtils"
org.apache.commons.math.complex.FrenchComplexFormatTest.testNegativeBoth,
org.apache.commons.math.complex.ComplexTest.testMultiplyNaN,"ComplexTest, Complex"
org.apache.commons.math.analysis.integration.SimpsonIntegratorTest.testQuinticFunction,"UnivariateRealIntegrator, Object, SimpsonIntegratorTest, SimpsonIntegrator, QuinticFunction, Math"
org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaStepInterpolatorTest.testDerivativesConsistency,"Object, ClassicalRungeKuttaIntegrator, ClassicalRungeKuttaStepInterpolatorTest, TestProblem3, Math, TestProblemAbstract"
org.apache.commons.math.ode.nonstiff.GillIntegratorTest.testStepSize,"GillIntegratorTest$2, Object, GillIntegrator, StepInterpolator, GillIntegratorTest, GillIntegratorTest$1, FirstOrderIntegrator"
org.apache.commons.math.complex.ComplexFormatTest.testPaseNegativeInfinity,
org.apache.commons.math.analysis.solvers.BisectionSolverTest.testSerialization,"TestUtils, Object, ByteArrayOutputStream, UnivariateRealSolver, BisectionSolverTest, ObjectInputStream, QuinticFunction, ObjectOutputStream, ByteArrayInputStream, BisectionSolver"
org.apache.commons.math.distribution.TDistributionTest.testInverseCumulativeProbabilities,
org.apache.commons.math.linear.DenseRealMatrixTest.testPremultiplyVector,"RealMatrix, DenseRealMatrixTest, RealVectorImpl, DenseRealMatrix"
org.apache.commons.math.linear.decomposition.CholeskyDecompositionImplTest.testDimensions,"CholeskyDecomposition, CholeskyDecompositionImplTest, CholeskyDecompositionImpl, RealMatrix, MatrixUtils"
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtilsTest.testSolveNoRoot,"UnivariateRealSolverUtils, UnivariateRealSolverUtilsTest"
org.apache.commons.math.ode.nonstiff.GraggBulirschStoerIntegratorTest.testEvents,"GraggBulirschStoerIntegrator, TestProblemHandler, Object, TestProblem4$Bounce, TestProblemAbstract, TestProblem4$Stop, TestProblem4, Collection, GraggBulirschStoerIntegratorTest, Math, FirstOrderIntegrator"
org.apache.commons.math.stat.descriptive.MultivariateSummaryStatisticsTest.testSerialization,"TestUtils, MultivariateSummaryStatisticsTest, Object, ByteArrayOutputStream, ObjectInputStream, MultivariateSummaryStatistics, ObjectOutputStream, ByteArrayInputStream"
org.apache.commons.math.complex.FrenchComplexFormatTest.testSetRealFormatNull,
org.apache.commons.math.analysis.integration.SimpsonIntegratorTest.testSinFunction,"UnivariateRealIntegrator, Object, SimpsonIntegratorTest, SimpsonIntegrator, SinFunction, Math"
org.apache.commons.math.linear.DenseRealMatrixTest.testPremultiply,"RealMatrix, DenseRealMatrixTest, DenseRealMatrix"
org.apache.commons.math.distribution.HypergeometricDistributionTest.testMoreLargeValues,"HypergeometricDistributionImpl, HypergeometricDistributionTest"
org.apache.commons.math.analysis.integration.LegendreGaussIntegratorTest.testQuinticFunction,"UnivariateRealIntegrator, Object, LegendreGaussIntegrator, QuinticFunction, LegendreGaussIntegratorTest"
org.apache.commons.math.special.GammaTest.testLogGammaNan,"Gamma, GammaTest"
org.apache.commons.math.util.MathUtilsTest.testCosh,"MathUtilsTest, MathUtils"
org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest.testControlParameters,"Object, ArrayList, EstimatedParameter, LevenbergMarquardtEstimatorTest$Circle$PointModel, LevenbergMarquardtEstimatorTest$Circle, LevenbergMarquardtEstimator, LevenbergMarquardtEstimatorTest, Iterator, WeightedMeasurement, Math"
org.apache.commons.math.stat.CertifiedDataTest.testDescriptiveStatistics,"BufferedReader, Double, Object, String, SummaryStatistics, CertifiedDataTest, DescriptiveStatistics, Class, Method, InputStreamReader"
org.apache.commons.math.ode.nonstiff.ThreeEighthesIntegratorTest.testBigStep,"TestProblemHandler, Object, TestProblemAbstract, ThreeEighthesIntegrator, TestProblem1, ThreeEighthesIntegratorTest, FirstOrderIntegrator"
org.apache.commons.math.complex.FrenchComplexFormatTest.testSimpleWithDecimalsTrunc,
org.apache.commons.math.complex.FrenchComplexFormatTest.testSetImaginaryCharacterNull,
org.apache.commons.math.distribution.ChiSquareDistributionTest.testCumulativeProbabilities,
org.apache.commons.math.linear.decomposition.QRSolverTest.testOverdetermined,"DefaultRealMatrixChangingVisitor, QRSolverTest$1, QRSolverTest, RealMatrix, MatrixUtils, QRSolverTest$2, Random, DecompositionSolver, QRDecompositionImpl"
org.apache.commons.math.ode.nonstiff.ThreeEighthesIntegratorTest.testDimensionCheck,"Object, ThreeEighthesIntegrator, TestProblem1, ThreeEighthesIntegratorTest, TestProblemAbstract"
org.apache.commons.math.stat.inference.TestUtilsTest.testOneWayAnovaUtils,"TestUtilsTest, TestUtils, OneWayAnova, List"
org.apache.commons.math.linear.DenseRealMatrixTest.testGetColumnVector,"RealMatrix, DenseRealMatrix, DenseRealMatrixTest, RealVectorImpl"
