Project,Version,Strategy,Budget,SelectedTestCases
cli,1,Total,25,"[""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.BugsTest.test11456"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.BugsTest.test11457"", ""org.apache.commons.cli.BugsTest.test13935"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.ApplicationTest.testLs"", ""org.apache.commons.cli.ApplicationTest.testAnt"", ""org.apache.commons.cli.BugsTest.test11680"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.PatternOptionBuilderTest.testSimplePattern"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.ValueTest.testShortOptionalArgValues"", ""org.apache.commons.cli.ValueTest.testShortOptionalNArgValues"", ""org.apache.commons.cli.ValueTest.testPropertyOptionFlags"", ""org.apache.commons.cli.ValueTest.testLongOptionalNArgValues""]"
cli,1,Mean,25,"[""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.BuildTest.testDuplicateLong"", ""org.apache.commons.cli.BuildTest.testDuplicateSimple"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.TestHelpFormatter.testPrintOptions"", ""org.apache.commons.cli.OptionBuilderTest.testOptionArgNumbers"", ""org.apache.commons.cli.OptionBuilderTest.testCompleteOption"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionStringOpt"", ""org.apache.commons.cli.OptionBuilderTest.testSpecialOptChars"", ""org.apache.commons.cli.OptionBuilderTest.testTwoCompleteOptions"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionCharOpt"", ""org.apache.commons.cli.BugsTest.test11457"", ""org.apache.commons.cli.BugsTest.test13935""]"
cli,1,Max,25,"[""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionCharOpt"", ""org.apache.commons.cli.OptionBuilderTest.testTwoCompleteOptions"", ""org.apache.commons.cli.OptionBuilderTest.testSpecialOptChars"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionStringOpt"", ""org.apache.commons.cli.OptionBuilderTest.testCompleteOption"", ""org.apache.commons.cli.BuildTest.testDuplicateSimple"", ""org.apache.commons.cli.BuildTest.testDuplicateLong"", ""org.apache.commons.cli.OptionBuilderTest.testOptionArgNumbers"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test13935"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.BugsTest.test11456"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.BugsTest.test11457"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.BugsTest.test11680""]"
cli,1,Min,25,"[""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.ValuesTest.testComplexValues"", ""org.apache.commons.cli.ValuesTest.testShortArgsWithValue"", ""org.apache.commons.cli.ValuesTest.testTwoArgValues"", ""org.apache.commons.cli.ValuesTest.testMultipleArgValues"", ""org.apache.commons.cli.ValuesTest.testCharSeparator"", ""org.apache.commons.cli.ValuesTest.testExtraArgs"", ""org.apache.commons.cli.ValuesTest.testShortArgs"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.ValueTest.testLongNoArg"", ""org.apache.commons.cli.ValueTest.testLongWithArg"", ""org.apache.commons.cli.ValueTest.testShortNoArg"", ""org.apache.commons.cli.TestHelpFormatter.testFindWrapPos"", ""org.apache.commons.cli.TestHelpFormatter.testPrintWrapped"", ""org.apache.commons.cli.ValueTest.testShortWithArg""]"
cli,1,TotalLines,25,"[""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.BugsTest.test11456"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.BugsTest.test13935"", ""org.apache.commons.cli.BugsTest.test11457"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.TestHelpFormatter.testPrintOptions"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.BugsTest.test11680"", ""org.apache.commons.cli.ApplicationTest.testLs"", ""org.apache.commons.cli.ApplicationTest.testAnt"", ""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.TestHelpFormatter.testFindWrapPos"", ""org.apache.commons.cli.TestHelpFormatter.testPrintWrapped"", ""org.apache.commons.cli.BuildTest.testDuplicateSimple"", ""org.apache.commons.cli.BuildTest.testDuplicateLong""]"
cli,1,MeanLines,25,"[""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.TestHelpFormatter.testPrintWrapped"", ""org.apache.commons.cli.TestHelpFormatter.testFindWrapPos"", ""org.apache.commons.cli.TestHelpFormatter.testPrintOptions"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.BuildTest.testDuplicateLong"", ""org.apache.commons.cli.BuildTest.testDuplicateSimple"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.ValueTest.testLongNoArg"", ""org.apache.commons.cli.ValueTest.testLongWithArg"", ""org.apache.commons.cli.ValueTest.testShortNoArg"", ""org.apache.commons.cli.ValueTest.testShortWithArg"", ""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionStringOpt"", ""org.apache.commons.cli.OptionBuilderTest.testSpecialOptChars"", ""org.apache.commons.cli.OptionBuilderTest.testCompleteOption""]"
cli,1,MaxLines,25,"[""org.apache.commons.cli.TestHelpFormatter.testFindWrapPos"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.TestHelpFormatter.testPrintOptions"", ""org.apache.commons.cli.TestHelpFormatter.testPrintWrapped"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionCharOpt"", ""org.apache.commons.cli.OptionBuilderTest.testOptionArgNumbers"", ""org.apache.commons.cli.OptionBuilderTest.testTwoCompleteOptions"", ""org.apache.commons.cli.OptionBuilderTest.testSpecialOptChars"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionStringOpt"", ""org.apache.commons.cli.OptionBuilderTest.testCompleteOption"", ""org.apache.commons.cli.BuildTest.testDuplicateSimple"", ""org.apache.commons.cli.BuildTest.testDuplicateLong"", ""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.BugsTest.test13935"", ""org.apache.commons.cli.ApplicationTest.testLs"", ""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.OptionsTest.testHelpOptions""]"
cli,1,MinLines,25,"[""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.ValueTest.testLongWithArg"", ""org.apache.commons.cli.ValueTest.testShortNoArg"", ""org.apache.commons.cli.ValueTest.testShortWithArg"", ""org.apache.commons.cli.ValueTest.testLongNoArg"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.ValuesTest.testShortArgsWithValue"", ""org.apache.commons.cli.ValuesTest.testTwoArgValues"", ""org.apache.commons.cli.ValuesTest.testMultipleArgValues"", ""org.apache.commons.cli.ValuesTest.testShortArgs"", ""org.apache.commons.cli.ValuesTest.testExtraArgs"", ""org.apache.commons.cli.ValuesTest.testComplexValues"", ""org.apache.commons.cli.ValuesTest.testCharSeparator"", ""org.apache.commons.cli.TestHelpFormatter.testPrintWrapped"", ""org.apache.commons.cli.TestHelpFormatter.testPrintOptions"", ""org.apache.commons.cli.TestHelpFormatter.testFindWrapPos"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test15046""]"
cli,2,Total,25,"[""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.BugsTest.test11456"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test13935"", ""org.apache.commons.cli.BugsTest.test11457"", ""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.bug.BugCLI51Test.test"", ""org.apache.commons.cli.ApplicationTest.testLs"", ""org.apache.commons.cli.BugsTest.test11680"", ""org.apache.commons.cli.ApplicationTest.testAnt"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.PatternOptionBuilderTest.testSimplePattern"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.ValueTest.testShortOptionalArgValues"", ""org.apache.commons.cli.ValueTest.testShortOptionalNArgValues"", ""org.apache.commons.cli.ValueTest.testPropertyOptionFlags"", ""org.apache.commons.cli.ValueTest.testLongOptionalNArgValues""]"
cli,2,Mean,25,"[""org.apache.commons.cli.bug.BugCLI18Test.testCLI18"", ""org.apache.commons.cli.bug.BugCLI51Test.test"", ""org.apache.commons.cli.bug.BugCLI13Test.testCLI13"", ""org.apache.commons.cli.BugsTest.test31148"", ""org.apache.commons.cli.BugsTest.test21215"", ""org.apache.commons.cli.BugsTest.test13425"", ""org.apache.commons.cli.BugsTest.test13666"", ""org.apache.commons.cli.BugsTest.test15046"", ""org.apache.commons.cli.BugsTest.test15648"", ""org.apache.commons.cli.BugsTest.test11458"", ""org.apache.commons.cli.BugsTest.test12210"", ""org.apache.commons.cli.BuildTest.testDuplicateLong"", ""org.apache.commons.cli.BuildTest.testDuplicateSimple"", ""org.apache.commons.cli.BugsTest.test14786"", ""org.apache.commons.cli.TestHelpFormatter.testPrintOptions"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionCharOpt"", ""org.apache.commons.cli.OptionBuilderTest.testOptionArgNumbers"", ""org.apache.commons.cli.OptionBuilderTest.testTwoCompleteOptions"", ""org.apache.commons.cli.OptionBuilderTest.testSpecialOptChars"", ""org.apache.commons.cli.OptionBuilderTest.testBaseOptionStringOpt"", ""org.apache.commons.cli.OptionBuilderTest.testCompleteOption"", ""org.apache.commons.cli.BugsTest.test13935"", ""org.apache.commons.cli.BugsTest.test11457""]"
