Project,Version,Strategy,Budget,SelectedTestCases
compress,1,Total,25,"[""org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest.testCpioUnarchive"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFieldMerging"", ""org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest.testJarMarker"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testAddAsFirstExtraField"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFields"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteAddDelete"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromAndAddToZip"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeletePlusAdd"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testAddDeleteAdd"", ""org.apache.commons.compress.archivers.ZipTestCase.testZipArchiveCreation"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8Interoperability"", ""org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testParse"", ""org.apache.commons.compress.archivers.ZipTestCase.testZipUnarchive""]"
compress,1,Mean,25,"[""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest.testCpioUnarchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8Interoperability"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testFileSystemRoot"", ""org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest.testJarMarker"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testUnixMode""]"
compress,1,Max,25,"[""org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest.testCpioUnarchive"", ""org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest.testJarMarker"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8Interoperability"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testFileSystemRoot"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.ZipTestCase.testZipUnarchive""]"
compress,1,Min,25,"[""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8Interoperability"", ""org.apache.commons.compress.archivers.zip.ZipUtilTest.testAdjustToLong"", ""org.apache.commons.compress.archivers.zip.ZipUtilTest.testZipLong"", ""org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest.testCpioUnarchive"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFields"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testAddAsFirstExtraField""]"
compress,1,TotalLines,25,"[""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFieldMerging"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testAddAsFirstExtraField"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFields"", ""org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testParse"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromAndAddToTar"", ""org.apache.commons.compress.archivers.TarTestCase.testTarArchiveLongNameCreation"", ""org.apache.commons.compress.archivers.TarTestCase.testTarArchiveCreation"", ""org.apache.commons.compress.archivers.TarTestCase.testTarUnarchive"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromAndAddToZip"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteAddDelete"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testAddDeleteAdd"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeletePlusAdd"", ""org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testMerge"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testReparse"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields""]"
compress,1,MeanLines,25,"[""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testContent"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testClone"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testModes"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testFileSystemRoot"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFields""]"
compress,1,MaxLines,25,"[""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testModes"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFieldMerging"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testContent"", ""org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testParse"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testClone"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testAddAsFirstExtraField"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFields"", ""org.apache.commons.compress.archivers.zip.AsiExtraFieldTest.testReparse"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testFileSystemRoot"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromAndAddToTar"", ""org.apache.commons.compress.archivers.TarTestCase.testTarArchiveLongNameCreation"", ""org.apache.commons.compress.archivers.TarTestCase.testTarUnarchive"", ""org.apache.commons.compress.archivers.TarTestCase.testTarArchiveCreation"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromAndAddToJar"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromJar"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteDir""]"
compress,1,MinLines,25,"[""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFields"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testUnixMode"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testAddAsFirstExtraField"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8Interoperability"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFieldMerging"", ""org.apache.commons.compress.DetectArchiverTestCase.testDetection""]"
compress,2,Total,25,"[""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFieldMerging"", ""org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest.testJarMarker"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testAddDeleteToOneFileArchive"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testAddDeleteAdd"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromAndAddToZip"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteAddDelete"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeletePlusAdd"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testExtraFields"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testAddAsFirstExtraField"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipArchiveInputStreamReadsUnicodeFields"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.ZipTestCase.testZipArchiveCreation"", ""org.apache.commons.compress.archivers.CpioTestCase.testCpioUnarchive"", ""org.apache.commons.compress.changes.ChangeSetTestCase.testDeleteFromAndAddToTar"", ""org.apache.commons.compress.archivers.ZipTestCase.testZipUnarchive"", ""org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest.testCpioUnarchive"", ""org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest.testParse""]"
compress,2,Mean,25,"[""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipArchiveInputStreamReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchive"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripExplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripImplicitUnicodeExtra"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8Interoperability"", ""org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest.testCpioUnarchive"", ""org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest.testJarMarker"", ""org.apache.commons.compress.archivers.tar.TarArchiveEntryTest.testTarFileWithFSRoot"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testRead7ZipArchiveForStream"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testReadWinZipArchiveForStream"", ""org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields"", ""org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest.testUnixMode""]"
