TestCase,MaxChangeProneness,AvgChangeProneness,MinChangeProneness,SumChangeProneness
org.jsoup.parser.ParserTest.handlesBaseTags,,,,0
org.jsoup.select.ElementsTest.attr,,,,0
org.jsoup.select.SelectorTest.testPseudoLessThan,,,,0
org.jsoup.parser.ParserTest.handlesInvalidStartTags,,,,0
org.jsoup.nodes.ElementTest.testNormalisesText,,,,0
org.jsoup.select.SelectorTest.testById,,,,0
org.jsoup.select.SelectorTest.testCharactersInIdAndClass,,,,0
org.jsoup.nodes.ElementTest.testGetElementsWithClass,,,,0
org.jsoup.select.ElementsTest.eq,,,,0
org.jsoup.parser.ParserTest.parsesComments,,,,0
org.jsoup.parser.ParserTest.createsImplicitLists,,,,0
org.jsoup.nodes.ElementTest.testSetHtml,,,,0
org.jsoup.safety.CleanerTest.testHandlesEmptyAttributes,,,,0
org.jsoup.nodes.ElementTest.testPrependNewHtml,,,,0
org.jsoup.select.ElementsTest.text,,,,0
org.jsoup.parser.ParserTest.handlesMultiClosingBody,,,,0
org.jsoup.select.ElementsTest.wrap,,,,0
org.jsoup.select.ElementsTest.is,,,,0
org.jsoup.nodes.ElementTest.testAddNewText,,,,0
org.jsoup.parser.AttributeParseTest.parsesRoughAttributeString,,,,0
org.jsoup.parser.ParserTest.parsesUnterminatedComments,,,,0
org.jsoup.nodes.ElementTest.testPrependText,,,,0
org.jsoup.nodes.NodeTest.handlesBaseUri,,,,0
org.jsoup.select.SelectorTest.testPseudoEquals,,,,0
org.jsoup.select.SelectorTest.testGroupOrAttribute,,,,0
org.jsoup.nodes.ElementTest.getElementsByTagName,,,,0
org.jsoup.safety.CleanerTest.testRelaxed,,,,0
org.jsoup.parser.TagTest.divSemantics,,,,0
org.jsoup.nodes.ElementTest.testGetText,,,,0
org.jsoup.safety.CleanerTest.basicBehaviourTest,,,,0
org.jsoup.parser.ParserTest.handlesEscapedData,,,,0
org.jsoup.select.SelectorTest.testSupportsLeadingCombinator,,,,0
org.jsoup.parser.ParserTest.handlesFrames,,,,0
org.jsoup.parser.TagTest.isCaseInsensitive,,,,0
org.jsoup.parser.ParserTest.normalisesEmptyDocument,,,,0
org.jsoup.parser.ParserTest.parsesRoughAttributes,,,,0
org.jsoup.safety.CleanerTest.simpleBehaviourTest2,,,,0
org.jsoup.select.ElementsTest.hasText,,,,0
org.jsoup.nodes.DocumentTest.testTitles,,,,0
org.jsoup.parser.TagTest.valueOfChecksNotEmpty,,,,0
org.jsoup.safety.CleanerTest.testIsValid,,,,0
org.jsoup.integration.ParseTest.testBinary,,,,0
org.jsoup.nodes.ElementTest.testGetSiblings,,,,0
org.jsoup.select.SelectorTest.testPseudoCombined,,,,0
org.jsoup.parser.ParserTest.parsesUnterminatedTag,,,,0
org.jsoup.select.SelectorTest.parentChildStar,,,,0
org.jsoup.parser.ParserTest.createsImplicitTable,,,,0
org.jsoup.select.SelectorTest.generalSiblings,,,,0
org.jsoup.select.SelectorTest.testAllElements,,,,0
org.jsoup.parser.ParserTest.handlesTextArea,,,,0
org.jsoup.nodes.ElementTest.testGetElementsWithAttributeValue,,,,0
org.jsoup.select.SelectorTest.testGroupOr,,,,0
org.jsoup.nodes.ElementTest.testSetText,,,,0
org.jsoup.select.SelectorTest.testByAttribute,,,,0
org.jsoup.nodes.ElementTest.testWrap,,,,0
org.jsoup.parser.ParserTest.handlesJavadocFont,,,,0
org.jsoup.safety.CleanerTest.testDropXmlProc,,,,0
org.jsoup.nodes.ElementTest.testAddNewHtml,,,,0
org.jsoup.select.ElementsTest.classes,,,,0
org.jsoup.select.SelectorTest.notAdjacent,,,,0
org.jsoup.select.SelectorTest.deeperDescendant,,,,0
org.jsoup.select.SelectorTest.mixCombinatorGroup,,,,0
org.jsoup.nodes.ElementTest.testOuterHtml,,,,0
org.jsoup.select.SelectorTest.testAllWithClass,,,,0
org.jsoup.select.ElementsTest.filter,,,,0
org.jsoup.integration.ParseTest.testSmhBizArticle,,,,0
org.jsoup.parser.TagTest.equality,,,,0
org.jsoup.nodes.DocumentTest.setTextPreservesDocumentStructure,,,,0
org.jsoup.select.ElementsTest.html,,,,0
org.jsoup.parser.ParserTest.handlesUnclosedDefinitionLists,,,,0
org.jsoup.select.SelectorTest.and,,,,0
org.jsoup.safety.CleanerTest.testDropImageScript,,,,0
org.jsoup.parser.ParserTest.createsStructureFromBodySnippet,,,,0
org.jsoup.nodes.ElementTest.testKeepsPreTextInCode,,,,0
org.jsoup.parser.TagTest.valueOfChecksNotNull,,,,0
org.jsoup.parser.ParserTest.handlesCdata,,,,0
org.jsoup.integration.ParseTest.testNewsHomepage,,,,0
org.jsoup.parser.ParserTest.handlesBaseWithoutHref,,,,0
org.jsoup.select.SelectorTest.parentChildElement,,,,0
org.jsoup.integration.ParseTest.testYahooJp,,,,0
org.jsoup.parser.ParserTest.createsDocumentStructure,,,,0
org.jsoup.select.ElementsTest.val,,,,0
org.jsoup.select.ElementsTest.setHtml,,,,0
org.jsoup.parser.ParserTest.handlesUnknownInlineTags,,,,0
org.jsoup.nodes.ElementTest.testInnerHtml,,,,0
org.jsoup.select.ElementsTest.outerHtml,,,,0
org.jsoup.select.SelectorTest.multiChildDescent,,,,0
org.jsoup.nodes.ElementTest.testClassUpdates,,,,0
org.jsoup.select.SelectorTest.testByTag,,,,0
org.jsoup.safety.CleanerTest.dropsUnresolvableRelativeLinks,,,,0
org.jsoup.safety.CleanerTest.testDropsUnknownTags,,,,0
org.jsoup.select.SelectorTest.testPseudoBetween,,,,0
org.jsoup.parser.ParserTest.handlesEmptyBlocks,,,,0
org.jsoup.nodes.ElementTest.testGetElementById,,,,0
org.jsoup.safety.CleanerTest.testDropComments,,,,0
org.jsoup.select.SelectorTest.mixCombinator,,,,0
org.jsoup.parser.ParserTest.handlesUnknownTags,,,,0
org.jsoup.parser.ParserTest.handlesTextAfterData,,,,0
org.jsoup.parser.ParserTest.handlesDataOnlyTags,,,,0
org.jsoup.parser.TagTest.pSemantics,,,,0
org.jsoup.select.SelectorTest.testByClass,,,,0
org.jsoup.parser.TagTest.spanSemantics,,,,0
org.jsoup.select.SelectorTest.adjacentSiblingsWithId,,,,0
org.jsoup.parser.AttributeParseTest.parsesEmptyString,,,,0
org.jsoup.nodes.ElementTest.testElementSiblingIndex,,,,0
org.jsoup.safety.CleanerTest.testCleanJavascriptHref,,,,0
org.jsoup.parser.ParserTest.normalisesHeadlessBody,,,,0
org.jsoup.select.SelectorTest.adjacentSiblings,,,,0
org.jsoup.nodes.ElementTest.testWrapWithRemainder,,,,0
org.jsoup.parser.TagTest.defaultSemantics,,,,0
org.jsoup.select.ElementsTest.hasAttr,,,,0
org.jsoup.safety.CleanerTest.simpleBehaviourTest,,,,0
org.jsoup.nodes.ElementTest.testPrependElement,,,,0
org.jsoup.parser.ParserTest.parsesUnterminatedAttribute,,,,0
org.jsoup.nodes.NodeTest.testReplace,,,,0
org.jsoup.nodes.NodeTest.testRemove,,,,0
org.jsoup.parser.TagTest.trims,,,,0
org.jsoup.nodes.ElementTest.testAddNewElement,,,,0
org.jsoup.select.SelectorTest.caseInsensitive,,,,0
org.jsoup.nodes.ElementTest.testHasText,,,,0
org.jsoup.nodes.NodeTest.handlesAbsPrefix,,,,0
org.jsoup.nodes.ElementTest.testClassDomMethods,,,,0
org.jsoup.nodes.TextNodeTest.testTextBean,,,,0
org.jsoup.parser.TagTest.imgSemantics,,,,0
org.jsoup.parser.AttributeParseTest.emptyOnNoKey,,,,0
org.jsoup.safety.CleanerTest.testDropScript,,,,0
org.jsoup.safety.CleanerTest.resolvesRelativeLinks,,,,0
org.jsoup.parser.ParserTest.parsesSimpleDocument,,,,0
org.jsoup.select.SelectorTest.testPseudoGreaterThan,,,,0
org.jsoup.nodes.TextNodeTest.testBlank,,,,0
org.jsoup.nodes.ElementTest.testGetElementsWithAttribute,,,,0
org.jsoup.safety.CleanerTest.basicWithImagesTest,,,,0
org.jsoup.nodes.ElementTest.testFormatHtml,,,,0
org.jsoup.nodes.ElementTest.testKeepsPreText,,,,0
org.jsoup.select.ElementsTest.attributes,,,,0
org.jsoup.select.SelectorTest.parentWithClassChild,,,,0
org.jsoup.select.SelectorTest.descendant,,,,0
org.jsoup.integration.ParseTest.testGoogleSearchIpod,,,,0
