TestCase,MaxChangeProneness,AvgChangeProneness,MinChangeProneness,SumChangeProneness
org.apache.commons.math.ode.nonstiff.AdamsBashforthIntegratorTest.exceedMaxEvaluations,,,,0
org.apache.commons.math.optimization.univariate.BracketFinderTest.testIntervalBoundsOrdering,,,,0
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest.testOneSet,,,,0
org.apache.commons.math.complex.ComplexTest.testConstructorNaN,,,,0
org.apache.commons.math.distribution.NormalDistributionTest.testGetStandardDeviation,,,,0
org.apache.commons.math.complex.ComplexTest.testNegateNaN,,,,0
org.apache.commons.math.util.MultidimensionalCounterTest.testAccessors,,,,0
org.apache.commons.math.complex.ComplexTest.testMultiply,,,,0
org.apache.commons.math.linear.MatrixUtilsTest.testBigFractionConverter,,,,0
org.apache.commons.math.fraction.BigFractionFormatTest.testFormatImproperNegative,,,,0
org.apache.commons.math.stat.inference.TTestTest.testOneSampleT,,,,0
org.apache.commons.math.linear.TriDiagonalTransformerTest.testNonSquare,,,,0
org.apache.commons.math.linear.Array2DRowRealMatrixTest.testDimensions,,,,0
org.apache.commons.math.stat.correlation.PearsonsCorrelationTest.testStdErrorConsistency,,,,0
org.apache.commons.math.linear.Array2DRowRealMatrixTest.testAdd,,,,0
org.apache.commons.math.stat.descriptive.MultivariateSummaryStatisticsTest.testSetterInjection,,,,0
org.apache.commons.math.ode.nonstiff.GillStepInterpolatorTest.testDerivativesConsistency,,,,0
org.apache.commons.math.util.BigRealTest.testBigDecimalValue,,,,0
org.apache.commons.math.stat.StatUtilsTest.testNormalize1,,,,0
org.apache.commons.math.util.OpenIntToDoubleHashMapTest.testPutAndGet,,,,0
org.apache.commons.math.stat.correlation.PearsonsCorrelationTest.testConsistency,,,,0
org.apache.commons.math.dfp.DfpTest.testCopySign,,,,0
org.apache.commons.math.linear.TriDiagonalTransformerTest.testMatricesValues5,,,,0
org.apache.commons.math.linear.SparseFieldMatrixTest.testPremultiply,,,,0
org.apache.commons.math.util.FastMathTest.testExpSpecialCases,,,,0
org.apache.commons.math.linear.BlockRealMatrixTest.testNorm,,,,0
org.apache.commons.math.util.MathUtilsTest.testSignFloat,,,,0
org.apache.commons.math.optimization.fitting.CurveFitterTest.testMath304,,,,0
org.apache.commons.math.special.GammaTest.testLogGammaPositive,,,,0
org.apache.commons.math.stat.inference.TestUtilsTest.testChiSquare,,,,0
org.apache.commons.math.ode.nonstiff.EulerStepInterpolatorTest.interpolationAtBounds,,,,0
org.apache.commons.math.fraction.FractionFormatTest.testFormat,,,,0
org.apache.commons.math.linear.TriDiagonalTransformerTest.testTTriDiagonal,,,,0
org.apache.commons.math.ode.nonstiff.GillIntegratorTest.testDimensionCheck,,,,0
org.apache.commons.math.complex.ComplexTest.testAsin,,,,0
org.apache.commons.math.linear.FieldMatrixImplTest.testSetColumnVector,,,,0
org.apache.commons.math.special.GammaTest.testDigammaSmallArgs,,,,0
org.apache.commons.math.linear.LUDecompositionImplTest.testMatricesValues2,,,,0
org.apache.commons.math.complex.ComplexTest.testAsinInf,,,,0
