TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.cli.BugsTest.test11458,0.18181818181818182,0.14285714285714285,0.09090909090909091,1.0,0.1272727272727273,0.1350903899215408,0.04498833266412668,113.27272727272727,58.76623376623376,9.454545454545455,411.3636363636363,32.999611080224895,47.04928740145555,32.35600585454217,"[""Option"", ""Options"", ""CommandLineParser"", ""PosixParser"", ""OptionBuilder"", ""BugsTest"", ""Iterator"", ""CommandLine""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[84.54545454545455, 46.45454545454545, 113.27272727272727, 47.54545454545455, 33.18181818181818, 76.9090909090909, 9.454545454545455]"
org.apache.commons.cli.CommandLineTest.testGetOptionProperties,0.18181818181818182,0.16666666666666666,0.09090909090909091,1.0,0.15584415584415584,0.1619815851164253,0.03387981784090591,84.54545454545455,44.37878787878788,12.363636363636363,266.2727272727273,29.885661126936885,37.21518592284476,23.384050547720886,"[""CommandLineTest"", ""Options"", ""Properties"", ""OptionBuilder"", ""GnuParser"", ""Parser"", ""CommandLine"", ""StringBuffer""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091]","[84.54545454545455, 46.45454545454545, 47.54545454545455, 21.272727272727273, 54.09090909090909, 12.363636363636363]"
org.apache.commons.cli.ApplicationTest.testNLT,0.18181818181818182,0.14285714285714285,0.09090909090909091,1.0,0.1272727272727273,0.1350903899215408,0.04498833266412668,113.27272727272727,53.12987012987013,9.454545454545455,371.9090909090909,30.998088340015244,42.453551654724386,32.140367213017655,"[""Option"", ""Options"", ""ApplicationTest"", ""CommandLineParser"", ""PosixParser"", ""OptionBuilder"", ""CommandLine""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[84.54545454545455, 46.45454545454545, 113.27272727272727, 47.54545454545455, 33.18181818181818, 37.45454545454545, 9.454545454545455]"
org.apache.commons.cli.BugsTest.test11456,0.18181818181818182,0.12987012987012989,0.09090909090909091,0.9090909090909092,0.11570247933884298,0.12235456296657779,0.04498833266412668,84.54545454545455,44.35064935064935,9.454545454545455,310.45454545454544,24.632464744001382,34.28683989873827,26.875260788232115,"[""Options"", ""CommandLineParser"", ""PosixParser"", ""OptionBuilder"", ""GnuParser"", ""BugsTest"", ""CommandLine""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[84.54545454545455, 46.45454545454545, 47.54545454545455, 33.18181818181818, 76.9090909090909, 9.454545454545455, 12.363636363636363]"
org.apache.commons.cli.BugsTest.test12210,0.18181818181818182,0.15151515151515152,0.09090909090909091,0.9090909090909092,0.13636363636363638,0.14430918654256358,0.04285495643554833,113.27272727272727,59.18181818181819,12.363636363636363,355.0909090909091,32.526968450129594,45.4855090760627,35.848164654427,"[""Option"", ""Options"", ""OptionGroup"", ""GnuParser"", ""BugsTest"", ""CommandLine""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091]","[84.54545454545455, 20.454545454545453, 113.27272727272727, 47.54545454545455, 76.9090909090909, 12.363636363636363]"
org.apache.commons.cli.BugsTest.test13935,0.18181818181818182,0.12987012987012989,0.09090909090909091,0.9090909090909092,0.11570247933884298,0.12235456296657779,0.04498833266412668,113.27272727272727,43.623376623376615,4.545454545454546,305.3636363636363,15.6369292595079,27.561500685880308,36.47850132887232,"[""Object"", ""Option"", ""Options"", ""CommandLineParser"", ""PosixParser"", ""OptionGroup"", ""BugsTest"", ""Class"", ""ParseException"", ""StringBuffer""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[20.454545454545453, 113.27272727272727, 47.54545454545455, 4.545454545454546, 33.18181818181818, 76.9090909090909, 9.454545454545455]"
org.apache.commons.cli.BugsTest.test31148,0.18181818181818182,0.15151515151515152,0.09090909090909091,0.9090909090909092,0.13636363636363638,0.14430918654256358,0.04285495643554833,113.27272727272727,68.25757575757576,33.18181818181818,409.5454545454546,58.07456256215181,63.05523186476651,26.540857668950512,"[""Option"", ""Options"", ""Properties"", ""PosixParser"", ""BugsTest"", ""Parser"", ""CommandLine""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091]","[84.54545454545455, 113.27272727272727, 47.54545454545455, 54.09090909090909, 33.18181818181818, 76.9090909090909]"
org.apache.commons.cli.ApplicationTest.testGroovy,0.18181818181818182,0.15151515151515152,0.09090909090909091,0.9090909090909092,0.13636363636363638,0.14430918654256358,0.04285495643554833,84.54545454545455,50.54545454545454,33.18181818181818,303.27272727272725,46.256931169018905,48.208773083953695,16.66920090925681,"[""ApplicationTest"", ""Options"", ""OptionBuilder"", ""PosixParser"", ""Parser"", ""CommandLine""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091]","[84.54545454545455, 46.45454545454545, 47.54545454545455, 54.09090909090909, 33.18181818181818, 37.45454545454545]"
org.apache.commons.cli.HelpFormatterTest.testPrintOptionGroupUsage,0.18181818181818182,0.16363636363636364,0.09090909090909091,0.8181818181818182,0.15151515151515152,0.1582819205992953,0.03636363636363636,141.63636363636363,69.5090909090909,20.454545454545453,347.5454545454545,45.68607423237733,56.68412186799265,42.67132119928514,"[""Options"", ""PrintWriter"", ""OptionBuilder"", ""OptionGroup"", ""HelpFormatterTest"", ""StringWriter"", ""HelpFormatter"", ""StringBuffer""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091]","[20.454545454545453, 46.45454545454545, 141.63636363636363, 47.54545454545455, 91.45454545454545]"
org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2,0.18181818181818182,0.16363636363636364,0.09090909090909091,0.8181818181818182,0.15151515151515152,0.1582819205992953,0.03636363636363636,141.63636363636363,88.07272727272728,46.45454545454545,440.3636363636364,72.06490311524492,79.82308859267,37.121618303281785,"[""Option"", ""Options"", ""PrintWriter"", ""System"", ""OptionBuilder"", ""HelpFormatterTest"", ""StringWriter"", ""HelpFormatter"", ""StringBuffer""]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091]","[46.45454545454545, 113.27272727272727, 141.63636363636363, 47.54545454545455, 91.45454545454545]"
