TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.compress.compressors.pack200.Pack200UtilsTest.testNormalize,0.3333333333333333,0.1304585152838428,0.008733624454148471,0.5218340611353712,0.020016680567139282,0.05021135543681189,0.13328455432454947,11.916666666666666,6.240629548762736,0.9912663755458515,24.962518195050944,2.8028677356755085,4.542691731119779,3.8865251619531493,"[""ArchiveInputStream"", ""Pack200Utils"", ""Pack200UtilsTest"", ""FileOutputStream"", ""HashMap"", ""File"", ""FileInputStream"", ""ArchiveEntry"", ""IOUtils"", ""OutputStream"", ""ArchiveStreamFactory""]","[0.3333333333333333, 0.16666666666666666, 0.013100436681222707, 0.008733624454148471]","[11.916666666666666, 5.5, 6.554585152838428, 0.9912663755458515]"
org.apache.commons.compress.compressors.pack200.Pack200UtilsTest.testNormalizeInPlace,0.3333333333333333,0.1304585152838428,0.008733624454148471,0.5218340611353712,0.020016680567139282,0.05021135543681189,0.13328455432454947,11.916666666666666,6.240629548762736,0.9912663755458515,24.962518195050944,2.8028677356755085,4.542691731119779,3.8865251619531493,"[""ArchiveInputStream"", ""Pack200Utils"", ""Pack200UtilsTest"", ""FileOutputStream"", ""File"", ""FileInputStream"", ""IOUtils"", ""ArchiveEntry"", ""OutputStream"", ""ArchiveStreamFactory""]","[0.3333333333333333, 0.16666666666666666, 0.013100436681222707, 0.008733624454148471]","[11.916666666666666, 5.5, 6.554585152838428, 0.9912663755458515]"
org.apache.commons.compress.archivers.DumpTestCase.testCheckArchive,0.3469387755102041,0.2469987995198079,0.14705882352941177,0.4939975990396158,0.20656136087484814,0.22587697572631277,0.09993997599039615,8.061224489795919,4.868847539015606,1.6764705882352942,9.737695078031212,2.77568883683659,3.6761944674221083,3.192376950780312,"[""FileInputStream"", ""DumpArchiveInputStream"", ""ArrayList"", ""InputStream"", ""DumpTestCase""]","[0.3469387755102041, 0.14705882352941177]","[8.061224489795919, 1.6764705882352942]"
org.apache.commons.compress.archivers.DumpTestCase.testCheckCompressedArchive,0.3469387755102041,0.2469987995198079,0.14705882352941177,0.4939975990396158,0.20656136087484814,0.22587697572631277,0.09993997599039615,8.061224489795919,4.868847539015606,1.6764705882352942,9.737695078031212,2.77568883683659,3.6761944674221083,3.192376950780312,"[""FileInputStream"", ""DumpArchiveInputStream"", ""ArrayList"", ""InputStream"", ""DumpTestCase""]","[0.3469387755102041, 0.14705882352941177]","[8.061224489795919, 1.6764705882352942]"
org.apache.commons.compress.compressors.Pack200TestCase.testJarArchiveCreationTempFile,0.17647058823529413,0.0688048145022201,0.008733624454148471,0.4816337015155407,0.019805092738132662,0.03705486086179759,0.06273934596586299,10.235294117647058,6.15331547466148,0.9912663755458515,43.07320832263036,2.866036061622482,4.548218553274012,3.5071682359931167,"[""ArchiveInputStream"", ""Pack200CompressorOutputStream"", ""FileOutputStream"", ""InputStream"", ""File"", ""FileInputStream"", ""IOUtils"", ""ArchiveStreamFactory"", ""OutputStream"", ""List"", ""Pack200TestCase"", ""ArchiveOutputStream"", ""ArrayList"", ""Pack200CompressorInputStream"", ""ZipArchiveEntry""]","[0.17647058823529413, 0.11764705882352941, 0.11764705882352941, 0.039301310043668124, 0.013100436681222707, 0.008733624454148471, 0.008733624454148471]","[5.764705882352941, 10.235294117647058, 8.470588235294118, 9.790393013100436, 6.554585152838428, 0.9912663755458515, 1.2663755458515285]"
org.apache.commons.compress.compressors.Pack200TestCase.testJarArchiveCreationInMemory,0.17647058823529413,0.0688048145022201,0.008733624454148471,0.4816337015155407,0.019805092738132662,0.03705486086179759,0.06273934596586299,10.235294117647058,6.15331547466148,0.9912663755458515,43.07320832263036,2.866036061622482,4.548218553274012,3.5071682359931167,"[""ArchiveInputStream"", ""Pack200CompressorOutputStream"", ""FileOutputStream"", ""InputStream"", ""File"", ""FileInputStream"", ""IOUtils"", ""ArchiveStreamFactory"", ""OutputStream"", ""List"", ""Pack200TestCase"", ""ArchiveOutputStream"", ""ArrayList"", ""Pack200CompressorInputStream"", ""ZipArchiveEntry""]","[0.17647058823529413, 0.11764705882352941, 0.11764705882352941, 0.039301310043668124, 0.013100436681222707, 0.008733624454148471, 0.008733624454148471]","[5.764705882352941, 10.235294117647058, 8.470588235294118, 9.790393013100436, 6.554585152838428, 0.9912663755458515, 1.2663755458515285]"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripImplicitUnicodeExtra,0.1572052401746725,0.0593886462882096,0.004366812227074236,0.296943231441048,0.014318789852918398,0.031149314300099325,0.056031493213433856,34.19213973799127,14.462008733624454,2.5458515283842793,72.31004366812228,5.570148772807149,8.993433652635304,12.266306802178418,"[""ZipArchiveOutputStream"", ""StringBuilder"", ""String"", ""UTF8ZipFilesTest"", ""ZipEncodingHelper"", ""ZipArchiveEntry"", ""ByteBuffer"", ""UnicodePathExtraField"", ""File"", ""ZipFile"", ""AssertionError"", ""ZipEncoding"", ""Enumeration""]","[0.1572052401746725, 0.08296943231441048, 0.039301310043668124, 0.013100436681222707, 0.004366812227074236]","[22.746724890829693, 34.19213973799127, 9.790393013100436, 2.5458515283842793, 3.034934497816594]"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripNoEFSImplicitUnicodeExtra,0.1572052401746725,0.0593886462882096,0.004366812227074236,0.296943231441048,0.014318789852918398,0.031149314300099325,0.056031493213433856,34.19213973799127,14.462008733624454,2.5458515283842793,72.31004366812228,5.570148772807149,8.993433652635304,12.266306802178418,"[""ZipArchiveOutputStream"", ""StringBuilder"", ""String"", ""UTF8ZipFilesTest"", ""ZipEncodingHelper"", ""ZipArchiveEntry"", ""ByteBuffer"", ""UnicodePathExtraField"", ""File"", ""ZipFile"", ""AssertionError"", ""ZipEncoding"", ""Enumeration""]","[0.1572052401746725, 0.08296943231441048, 0.039301310043668124, 0.013100436681222707, 0.004366812227074236]","[22.746724890829693, 34.19213973799127, 9.790393013100436, 2.5458515283842793, 3.034934497816594]"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testASCIIFileRoundtripImplicitUnicodeExtra,0.1572052401746725,0.0593886462882096,0.004366812227074236,0.296943231441048,0.014318789852918398,0.031149314300099325,0.056031493213433856,34.19213973799127,14.462008733624454,2.5458515283842793,72.31004366812228,5.570148772807149,8.993433652635304,12.266306802178418,"[""ZipArchiveOutputStream"", ""StringBuilder"", ""String"", ""UTF8ZipFilesTest"", ""ZipEncodingHelper"", ""ZipArchiveEntry"", ""ByteBuffer"", ""UnicodePathExtraField"", ""File"", ""ZipFile"", ""AssertionError"", ""ZipEncoding"", ""Enumeration""]","[0.1572052401746725, 0.08296943231441048, 0.039301310043668124, 0.013100436681222707, 0.004366812227074236]","[22.746724890829693, 34.19213973799127, 9.790393013100436, 2.5458515283842793, 3.034934497816594]"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testCP437FileRoundtripExplicitUnicodeExtra,0.1572052401746725,0.0593886462882096,0.004366812227074236,0.296943231441048,0.014318789852918398,0.031149314300099325,0.056031493213433856,34.19213973799127,14.462008733624454,2.5458515283842793,72.31004366812228,5.570148772807149,8.993433652635304,12.266306802178418,"[""ZipArchiveOutputStream"", ""StringBuilder"", ""String"", ""UTF8ZipFilesTest"", ""ZipEncodingHelper"", ""ZipArchiveEntry"", ""ByteBuffer"", ""UnicodePathExtraField"", ""File"", ""ZipFile"", ""AssertionError"", ""ZipEncoding"", ""Enumeration""]","[0.1572052401746725, 0.08296943231441048, 0.039301310043668124, 0.013100436681222707, 0.004366812227074236]","[22.746724890829693, 34.19213973799127, 9.790393013100436, 2.5458515283842793, 3.034934497816594]"
