TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.csv.CSVParserTest.testBackslashEscaping2,0.2638888888888889,0.14305555555555557,0.020833333333333332,0.7152777777777779,0.06525396335640088,0.10438721227377182,0.0907147544044885,63.298611111111114,26.572222222222223,0.2777777777777778,132.86111111111111,1.2906756254643237,9.811967638746985,22.83130549930225,"[""StringBuilder"", ""CSVRecord"", ""Utils"", ""CSVFormat"", ""CSVParserTest"", ""CSVParser"", ""List""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333, 0.020833333333333332]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333, 0.2777777777777778]"
org.apache.commons.csv.CSVParserTest.testBackslashEscaping,0.2638888888888889,0.14305555555555557,0.020833333333333332,0.7152777777777779,0.06525396335640088,0.10438721227377182,0.0907147544044885,63.298611111111114,26.572222222222223,0.2777777777777778,132.86111111111111,1.2906756254643237,9.811967638746985,22.83130549930225,"[""StringBuilder"", ""CSVRecord"", ""Utils"", ""CSVFormat"", ""CSVParserTest"", ""CSVParser"", ""List""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333, 0.020833333333333332]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333, 0.2777777777777778]"
org.apache.commons.csv.CSVParserTest.testDefaultFormat,0.2638888888888889,0.14305555555555557,0.020833333333333332,0.7152777777777779,0.06525396335640088,0.10438721227377182,0.0907147544044885,63.298611111111114,26.572222222222223,0.2777777777777778,132.86111111111111,1.2906756254643237,9.811967638746985,22.83130549930225,"[""StringBuilder"", ""CSVRecord"", ""Utils"", ""CSVFormat"", ""CSVParserTest"", ""CSVParser"", ""List""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333, 0.020833333333333332]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333, 0.2777777777777778]"
org.apache.commons.csv.CSVParserTest.testHeaderComment,0.2638888888888889,0.17361111111111113,0.08333333333333333,0.6944444444444445,0.1397443461160275,0.15617784784363298,0.07495497619764897,63.298611111111114,33.145833333333336,5.145833333333333,132.58333333333334,14.601734819606827,23.92052786302932,20.869207538918893,"[""CSVRecord"", ""CSVFormat"", ""StringReader"", ""CSVParserTest"", ""CSVParser"", ""Iterator""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333]"
org.apache.commons.csv.CSVParserTest.testMappedButNotSetAsOutlook2007ContactExport,0.2638888888888889,0.17361111111111113,0.08333333333333333,0.6944444444444445,0.1397443461160275,0.15617784784363298,0.07495497619764897,63.298611111111114,33.145833333333336,5.145833333333333,132.58333333333334,14.601734819606827,23.92052786302932,20.869207538918893,"[""CSVRecord"", ""CSVFormat"", ""StringReader"", ""CSVParserTest"", ""CSVParser"", ""Iterator""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333]"
org.apache.commons.csv.CSVParserTest.testGetHeaderMap,0.2638888888888889,0.17361111111111113,0.08333333333333333,0.6944444444444445,0.1397443461160275,0.15617784784363298,0.07495497619764897,63.298611111111114,33.145833333333336,5.145833333333333,132.58333333333334,14.601734819606827,23.92052786302932,20.869207538918893,"[""Map"", ""CSVRecord"", ""CSVFormat"", ""CSVParserTest"", ""Set"", ""CSVParser"", ""Iterator""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333]"
org.apache.commons.csv.CSVParserTest.testSkipAutoHeader,0.2638888888888889,0.17361111111111113,0.08333333333333333,0.6944444444444445,0.1397443461160275,0.15617784784363298,0.07495497619764897,63.298611111111114,33.145833333333336,5.145833333333333,132.58333333333334,14.601734819606827,23.92052786302932,20.869207538918893,"[""CSVRecord"", ""CSVFormat"", ""StringReader"", ""CSVParserTest"", ""CSVParser"", ""Iterator""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333]"
org.apache.commons.csv.CSVParserTest.testGetRecords,0.2638888888888889,0.17361111111111113,0.08333333333333333,0.6944444444444445,0.1397443461160275,0.15617784784363298,0.07495497619764897,63.298611111111114,33.145833333333336,5.145833333333333,132.58333333333334,14.601734819606827,23.92052786302932,20.869207538918893,"[""CSVRecord"", ""CSVFormat"", ""CSVParserTest"", ""CSVParser"", ""List""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333]"
org.apache.commons.csv.CSVParserTest.testGetRecordWithMultiLineValues,0.2638888888888889,0.17361111111111113,0.08333333333333333,0.6944444444444445,0.1397443461160275,0.15617784784363298,0.07495497619764897,63.298611111111114,33.145833333333336,5.145833333333333,132.58333333333334,14.601734819606827,23.92052786302932,20.869207538918893,"[""CSVParser"", ""CSVParserTest"", ""CSVFormat"", ""CSVRecord""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333]"
org.apache.commons.csv.CSVParserTest.testGetRecordNumberWithCR,0.2638888888888889,0.17361111111111113,0.08333333333333333,0.6944444444444445,0.1397443461160275,0.15617784784363298,0.07495497619764897,63.298611111111114,33.145833333333336,5.145833333333333,132.58333333333334,14.601734819606827,23.92052786302932,20.869207538918893,"[""CSVParserTest"", ""StringBuilder"", ""String"", ""CSVRecord"", ""CSVParser"", ""CSVFormat""]","[0.2638888888888889, 0.22916666666666666, 0.11805555555555555, 0.08333333333333333]","[27.243055555555557, 63.298611111111114, 36.895833333333336, 5.145833333333333]"
