TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
com.fasterxml.jackson.databind.deprecated.MiscDeprecatedTest.testOldEnumMapSerializer,0.08333333333333333,0.04636524822695035,0.01702127659574468,0.1854609929078014,0.027741655830082357,0.035806657580285894,0.029835083781249775,25.8,8.243971631205675,0.902127659574468,32.9758865248227,2.186268571401474,3.8247398746410877,10.192803332580846,"[""EnumValues"", ""ObjectMapper"", ""EnumMapSerializer"", ""MiscDeprecatedTest""]","[0.08333333333333333, 0.06808510638297872, 0.01702127659574468, 0.01702127659574468]","[2.3333333333333335, 25.8, 0.902127659574468, 3.9404255319148938]"
com.fasterxml.jackson.databind.convert.TestUpdateValue.testIssue744,0.06808510638297872,0.029787234042553196,0.00851063829787234,0.14893617021276598,0.01896269541170495,0.023715047001967828,0.020496331197944334,25.8,16.005957446808512,2.068085106382979,80.02978723404256,7.174863184867078,12.246405128729206,7.839688743925341,"[""StdDeserializer"", ""DeserializationContext"", ""TestUpdateValue"", ""Object"", ""TestUpdateValue$DataA"", ""TestUpdateValue$DataADeserializer"", ""StringBuilder"", ""JsonParser"", ""ObjectMapper"", ""TestUpdateValue$DataB"", ""SimpleModule"", ""ObjectReader""]","[0.06808510638297872, 0.029787234042553193, 0.02553191489361702, 0.01702127659574468, 0.00851063829787234]","[25.8, 20.131914893617022, 16.229787234042554, 15.8, 2.068085106382979]"
com.fasterxml.jackson.databind.module.TestTypeModifiers.testMapLikeDeserialization,0.06808510638297872,0.019452887537993926,0.00425531914893617,0.13617021276595748,0.008902784769878911,0.012530695320683806,0.020704421113588327,25.8,7.060790273556231,1.1063829787234043,49.42553191489362,2.1972069526386098,3.422567527416788,8.860063146006873,"[""JavaType"", ""TestTypeModifiers$MyCollectionSerializer"", ""TestTypeModifiers"", ""JsonParser"", ""JsonSerializer"", ""ObjectMapper"", ""SimpleDeserializers"", ""Class"", ""TestTypeModifiers$MyMapLikeType"", ""TestTypeModifiers$MyMapSerializer"", ""TestTypeModifiers$MyMapDeserializer"", ""CollectionLikeType"", ""SimpleModule"", ""Integer"", ""TestTypeModifiers$MapMarker"", ""Serializers$Base"", ""TypeModifier"", ""TestTypeModifiers$ModifierModule$1"", ""Object"", ""JsonGenerator"", ""Version"", ""TestTypeModifiers$MyTypeModifier"", ""TestTypeModifiers$ModifierModule"", ""IOException"", ""TestTypeModifiers$ModifierModule$2"", ""TypeFactory"", ""TestTypeModifiers$MyCollectionLikeType"", ""Number"", ""JsonDeserializer"", ""TestTypeModifiers$MyCollectionDeserializer"", ""StringBuilder"", ""Module$SetupContext"", ""MapLikeType""]","[0.06808510638297872, 0.02127659574468085, 0.01702127659574468, 0.01276595744680851, 0.00851063829787234, 0.00425531914893617, 0.00425531914893617]","[25.8, 14.680851063829786, 2.1106382978723404, 1.2382978723404254, 2.119148936170213, 1.1063829787234043, 2.370212765957447]"
com.fasterxml.jackson.databind.module.TestTypeModifiers.testCollectionLikeDeserialization,0.06808510638297872,0.019452887537993926,0.00425531914893617,0.13617021276595748,0.008902784769878911,0.012530695320683806,0.020704421113588327,25.8,7.060790273556231,1.1063829787234043,49.42553191489362,2.1972069526386098,3.422567527416788,8.860063146006873,"[""JavaType"", ""TestTypeModifiers$MyCollectionSerializer"", ""TestTypeModifiers"", ""JsonParser"", ""JsonSerializer"", ""ObjectMapper"", ""SimpleDeserializers"", ""Class"", ""TestTypeModifiers$MyMapLikeType"", ""TestTypeModifiers$MyMapSerializer"", ""TestTypeModifiers$MyMapDeserializer"", ""CollectionLikeType"", ""SimpleModule"", ""Integer"", ""TestTypeModifiers$MapMarker"", ""Serializers$Base"", ""TypeModifier"", ""TestTypeModifiers$ModifierModule$1"", ""Object"", ""JsonGenerator"", ""Version"", ""TestTypeModifiers$MyTypeModifier"", ""TestTypeModifiers$ModifierModule"", ""IOException"", ""TestTypeModifiers$ModifierModule$2"", ""TypeFactory"", ""Number"", ""TestTypeModifiers$MyCollectionLikeType"", ""JsonDeserializer"", ""TestTypeModifiers$MyCollectionDeserializer"", ""StringBuilder"", ""Module$SetupContext"", ""MapLikeType""]","[0.06808510638297872, 0.02127659574468085, 0.01702127659574468, 0.01276595744680851, 0.00851063829787234, 0.00425531914893617, 0.00425531914893617]","[25.8, 14.680851063829786, 2.1106382978723404, 1.2382978723404254, 2.119148936170213, 1.1063829787234043, 2.370212765957447]"
com.fasterxml.jackson.databind.module.TestTypeModifiers.testMapLikeSerialization,0.06808510638297872,0.019452887537993926,0.00425531914893617,0.13617021276595748,0.008902784769878911,0.012530695320683806,0.020704421113588327,25.8,7.060790273556231,1.1063829787234043,49.42553191489362,2.1972069526386098,3.422567527416788,8.860063146006873,"[""JavaType"", ""TestTypeModifiers$MyCollectionSerializer"", ""TestTypeModifiers"", ""JsonParser"", ""JsonSerializer"", ""ObjectMapper"", ""SimpleDeserializers"", ""Class"", ""TestTypeModifiers$MyMapLikeType"", ""TestTypeModifiers$MyMapSerializer"", ""TestTypeModifiers$MyMapDeserializer"", ""CollectionLikeType"", ""SimpleModule"", ""Integer"", ""TestTypeModifiers$MapMarker"", ""Serializers$Base"", ""TypeModifier"", ""TestTypeModifiers$ModifierModule$1"", ""Object"", ""JsonGenerator"", ""Version"", ""TestTypeModifiers$MyTypeModifier"", ""TestTypeModifiers$ModifierModule"", ""IOException"", ""TestTypeModifiers$ModifierModule$2"", ""TypeFactory"", ""Number"", ""TestTypeModifiers$MyCollectionLikeType"", ""JsonDeserializer"", ""TestTypeModifiers$MyCollectionDeserializer"", ""StringBuilder"", ""Module$SetupContext"", ""MapLikeType""]","[0.06808510638297872, 0.02127659574468085, 0.01702127659574468, 0.01276595744680851, 0.00851063829787234, 0.00425531914893617, 0.00425531914893617]","[25.8, 14.680851063829786, 2.1106382978723404, 1.2382978723404254, 2.119148936170213, 1.1063829787234043, 2.370212765957447]"
com.fasterxml.jackson.databind.module.TestTypeModifiers.testCollectionLikeSerialization,0.06808510638297872,0.019452887537993926,0.00425531914893617,0.13617021276595748,0.008902784769878911,0.012530695320683806,0.020704421113588327,25.8,7.060790273556231,1.1063829787234043,49.42553191489362,2.1972069526386098,3.422567527416788,8.860063146006873,"[""JavaType"", ""TestTypeModifiers$MyCollectionSerializer"", ""TestTypeModifiers"", ""JsonParser"", ""JsonSerializer"", ""ObjectMapper"", ""SimpleDeserializers"", ""Class"", ""TestTypeModifiers$MyMapLikeType"", ""TestTypeModifiers$MyMapSerializer"", ""TestTypeModifiers$MyMapDeserializer"", ""CollectionLikeType"", ""SimpleModule"", ""Integer"", ""TestTypeModifiers$MapMarker"", ""Serializers$Base"", ""TypeModifier"", ""TestTypeModifiers$ModifierModule$1"", ""Object"", ""JsonGenerator"", ""Version"", ""TestTypeModifiers$MyTypeModifier"", ""TestTypeModifiers$ModifierModule"", ""IOException"", ""TestTypeModifiers$ModifierModule$2"", ""TypeFactory"", ""TestTypeModifiers$MyCollectionLikeType"", ""Number"", ""JsonDeserializer"", ""TestTypeModifiers$MyCollectionDeserializer"", ""StringBuilder"", ""Module$SetupContext"", ""MapLikeType""]","[0.06808510638297872, 0.02127659574468085, 0.01702127659574468, 0.01276595744680851, 0.00851063829787234, 0.00425531914893617, 0.00425531914893617]","[25.8, 14.680851063829786, 2.1106382978723404, 1.2382978723404254, 2.119148936170213, 1.1063829787234043, 2.370212765957447]"
com.fasterxml.jackson.databind.ser.TestMapSerialization.testDefaultKeySerializer,0.06808510638297872,0.03404255319148936,0.01276595744680851,0.13617021276595745,0.023613331693518633,0.028168092933164874,0.02106275518428014,25.8,11.13404255319149,1.2382978723404254,44.53617021276596,3.153601832115105,6.032691420080915,9.931854956153808,"[""Map"", ""JsonGenerator"", ""SerializerProvider"", ""StringBuilder"", ""JsonSerializer"", ""ObjectMapper"", ""TestMapSerialization"", ""TestMapSerialization$DefaultKeySerializer"", ""HashMap""]","[0.06808510638297872, 0.03404255319148936, 0.02127659574468085, 0.01276595744680851]","[25.8, 2.825531914893617, 14.672340425531916, 1.2382978723404254]"
com.fasterxml.jackson.databind.objectid.TestObjectIdDeserialization.testCustomPoolResolver,0.06808510638297872,0.03297872340425532,0.01702127659574468,0.13191489361702127,0.02506200234956272,0.028168092933164874,0.020490808813040662,25.8,14.90744680851064,1.9787234042553192,59.62978723404256,5.972231592947884,10.66617086009185,8.48613193774559,"[""ContextAttributes"", ""Object"", ""Map"", ""TestObjectIdDeserialization$WithCustomResolution"", ""Iterator"", ""ObjectMapper"", ""List"", ""TestObjectIdDeserialization"", ""Integer"", ""HashMap"", ""DeserializationConfig"", ""ObjectReader""]","[0.06808510638297872, 0.02553191489361702, 0.02127659574468085, 0.01702127659574468]","[25.8, 16.229787234042554, 1.9787234042553192, 15.62127659574468]"
com.fasterxml.jackson.databind.deser.TestNullHandling.testListOfNulls,0.06808510638297872,0.026382978723404255,0.00851063829787234,0.13191489361702127,0.014887413932138204,0.019301558768221733,0.02193038081144702,25.8,11.985531914893617,1.097872340425532,59.92765957446809,3.223246574999342,6.777654368171278,9.295209745837028,"[""TestNullHandling$FunnyNullDeserializer"", ""Arrays"", ""JsonDeserializer"", ""Version"", ""TestNullHandling"", ""ObjectMapper"", ""SimpleModule"", ""List"", ""TypeFactory"", ""ObjectReader""]","[0.06808510638297872, 0.02553191489361702, 0.02127659574468085, 0.00851063829787234, 0.00851063829787234]","[25.8, 16.229787234042554, 14.680851063829786, 1.097872340425532, 2.119148936170213]"
com.fasterxml.jackson.databind.ObjectMapperTest.testAnnotationIntrospectorCopyin,0.06808510638297872,0.026382978723404255,0.00851063829787234,0.13191489361702127,0.016210739614994935,0.020018366340845518,0.0215975787922545,25.8,14.953191489361704,3.302127659574468,74.76595744680851,9.255944903269402,12.432976357579154,7.19278749457088,"[""SerializationConfig"", ""Object"", ""ObjectMapperTest"", ""JacksonAnnotationIntrospector"", ""ObjectMapper"", ""ObjectMapperTest$MyAnnotationIntrospector"", ""DeserializationConfig""]","[0.06808510638297872, 0.02553191489361702, 0.01702127659574468, 0.01276595744680851, 0.00851063829787234]","[25.8, 13.46808510638298, 15.62127659574468, 3.302127659574468, 16.574468085106382]"
