TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.math.transform.FastCosineTransformerTest.testAdHocData,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastFourierTransformer"", ""FastCosineTransformerTest"", ""Math"", ""FastCosineTransformer""]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[0.0, 0.0, 0.0]"
org.apache.commons.math.transform.FastSineTransformerTest.testAdHocData,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastSineTransformer"", ""FastFourierTransformer"", ""Math"", ""FastSineTransformerTest""]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[0.0, 0.0, 0.0]"
org.apache.commons.math.util.MathUtilsTest.testSignLong,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.test0Choose0,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testFactorialFail,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""Double"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSignInt,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testBinomialCoefficient,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""StringBuilder"", ""MathUtils"", ""MathUtilsTest"", ""Math""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSubAndCheckErrorMessage,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils"", ""ArithmeticException""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testMulAndCheck,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testIndicatorLong,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testLcm,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testHash,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testNextAfterSpecialCases,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""Double"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testNextAfter,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSignFloat,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testCoshNaN,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""Double"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testIndicatorByte,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testBinomialCoefficientFail,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""Double"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSinhNaN,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""Double"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testFactorial,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""StringBuilder"", ""MathUtilsTest"", ""Math"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSinh,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testGcd,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testIndicatorShort,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSignByte,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testRoundDouble,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testRoundFloat,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSubAndCheck,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testCosh,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testIndicatorDouble,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSignDouble,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testIndicatorFloat,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testEquals,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testAddAndCheck,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testIndicatorInt,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.util.MathUtilsTest.testSignShort,0.25,0.1875,0.125,0.375,0.16666666666666666,0.17677669529663692,0.0625,404.0,309.4375,214.875,618.875,280.53968895172693,294.6345193625488,94.5625,"[""MathUtilsTest"", ""MathUtils""]","[0.25, 0.125]","[404.0, 214.875]"
org.apache.commons.math.transform.FastSineTransformerTest.testParameters,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastSineTransformer"", ""SinFunction"", ""Object"", ""FastSineTransformerTest""]","[0.14285714285714285, 0.14285714285714285]","[0.0, 0.0]"
org.apache.commons.math.transform.FastFourierTransformerTest.testAdHocData,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastFourierTransformer"", ""Math"", ""FastFourierTransformerTest"", ""Complex""]","[0.14285714285714285, 0.14285714285714285]","[0.0, 0.0]"
org.apache.commons.math.transform.FastFourierTransformerTest.testSinFunction,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""SinFunction"", ""FastFourierTransformerTest"", ""Object"", ""FastFourierTransformer"", ""Complex""]","[0.14285714285714285, 0.14285714285714285]","[0.0, 0.0]"
org.apache.commons.math.transform.FastFourierTransformerTest.testParameters,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""SinFunction"", ""FastFourierTransformerTest"", ""Object"", ""FastFourierTransformer""]","[0.14285714285714285, 0.14285714285714285]","[0.0, 0.0]"
org.apache.commons.math.transform.FastCosineTransformerTest.testSinFunction,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastCosineTransformerTest"", ""SinFunction"", ""FastCosineTransformer"", ""Object""]","[0.14285714285714285, 0.14285714285714285]","[0.0, 0.0]"
org.apache.commons.math.transform.FastSineTransformerTest.testSinFunction,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastSineTransformer"", ""SinFunction"", ""Object"", ""FastSineTransformerTest""]","[0.14285714285714285, 0.14285714285714285]","[0.0, 0.0]"
org.apache.commons.math.transform.FastCosineTransformerTest.testParameters,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastCosineTransformerTest"", ""SinFunction"", ""FastCosineTransformer"", ""Object""]","[0.14285714285714285, 0.14285714285714285]","[0.0, 0.0]"
org.apache.commons.math.linear.QRDecompositionImplTest.testAEqualQR,0.125,0.125,0.125,0.25,0.125,0.12500000000000003,0.0,4.625,2.4375,0.25,4.875,0.4743589743589744,1.0752906583803283,2.1875,"[""QRDecomposition"", ""RealMatrixImpl"", ""RealMatrix"", ""QRDecompositionImplTest"", ""QRDecompositionImpl""]","[0.125, 0.125]","[4.625, 0.25]"
org.apache.commons.math.fraction.FractionFormatTest.testWholeFormat,0.125,0.125,0.125,0.25,0.125,0.12500000000000003,0.0,18.125,10.75,3.375,21.5,5.690406976744186,7.82124510548033,7.375,"[""FractionFormatTest"", ""ProperFractionFormat"", ""NumberFormat""]","[0.125, 0.125]","[18.125, 3.375]"
org.apache.commons.math.linear.QRDecompositionImplTest.testDimensions,0.125,0.125,0.125,0.25,0.125,0.12500000000000003,0.0,4.625,2.4375,0.25,4.875,0.4743589743589744,1.0752906583803283,2.1875,"[""QRDecomposition"", ""RealMatrixImpl"", ""RealMatrix"", ""QRDecompositionImplTest"", ""QRDecompositionImpl""]","[0.125, 0.125]","[4.625, 0.25]"
org.apache.commons.math.fraction.FractionFormatTest.testDenominatorFormat,0.125,0.125,0.125,0.125,0.125,0.12500000000000003,0.0,18.125,18.125,18.125,18.125,18.125,18.125,0.0,"[""FractionFormat"", ""FractionFormatTest"", ""NumberFormat""]",[0.125],[18.125]
org.apache.commons.math.fraction.FractionFormatTest.testFormatNegative,0.125,0.125,0.125,0.125,0.125,0.12500000000000003,0.0,18.125,18.125,18.125,18.125,18.125,18.125,0.0,"[""Fraction"", ""FractionFormat"", ""FractionFormatTest""]",[0.125],[18.125]
org.apache.commons.math.fraction.FractionFormatTest.testParseProper,0.125,0.125,0.125,0.125,0.125,0.12500000000000003,0.0,18.125,18.125,18.125,18.125,18.125,18.125,0.0,"[""Fraction"", ""ParseException"", ""FractionFormat"", ""FractionFormatTest""]",[0.125],[18.125]
org.apache.commons.math.fraction.FractionFormatTest.testFormatImproper,0.125,0.125,0.125,0.125,0.125,0.12500000000000003,0.0,18.125,18.125,18.125,18.125,18.125,18.125,0.0,"[""Fraction"", ""FractionFormat"", ""FractionFormatTest""]",[0.125],[18.125]
org.apache.commons.math.fraction.FractionFormatTest.testParseInvalidDenominator,0.125,0.125,0.125,0.125,0.125,0.12500000000000003,0.0,18.125,18.125,18.125,18.125,18.125,18.125,0.0,"[""FractionFormat"", ""FractionFormatTest""]",[0.125],[18.125]
org.apache.commons.math.fraction.FractionFormatTest.testFormatImproperNegative,0.125,0.125,0.125,0.125,0.125,0.12500000000000003,0.0,18.125,18.125,18.125,18.125,18.125,18.125,0.0,"[""Fraction"", ""FractionFormat"", ""FractionFormatTest""]",[0.125],[18.125]
