TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.joda.time.TestDateTimeZoneCutover.testForum4013394_retainOffsetWhenRetainFields_sameOffsetsDifferentZones,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_NewYork_Autumn,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.testBug3192457_adjustOffset,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_Gaza,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_Moscow_Autumn,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.format.TestDateTimeFormatter.testParseDateTime_offsetParsed,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,459.0,256.0,1377.0,386.27252517165994,420.47674427054704,190.91727896502036,"[""TestDateTimeFormatter"", ""DateTimeFormatter"", ""DateTimeZone"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 256.0]"
org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_Guatemata_Autumn,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.testBug2182444_usCentral,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""GregorianChronology"", ""DateTime"", ""Chronology"", ""TestDateTimeZoneCutover""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_Turk,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.testBug2182444_ausNSW,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""GregorianChronology"", ""DateTime"", ""Chronology"", ""TestDateTimeZoneCutover""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
org.joda.time.TestDateTimeZoneCutover.test_getOffsetFromLocal_Moscow_Spring,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.3333333333333333,0.4,0.41997368329829105,0.15713484026367722,714.6666666666666,493.4444444444444,359.3333333333333,1480.3333333333333,451.5883228479608,470.79064858905474,157.60013473704836,"[""DateTimeZone"", ""TestDateTimeZoneCutover"", ""DateTime""]","[0.6666666666666666, 0.3333333333333333, 0.3333333333333333]","[714.6666666666666, 406.3333333333333, 359.3333333333333]"
