TestCase,MaxChangeProneness,AvgChangeProneness,MinChangeProneness,SumChangeProneness,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio
org.apache.commons.codec.binary.StringUtilsTest.testGetBytesUncheckedBadName,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64InputStreamTest.testRead0,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testIsUrlSafe,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testDecodePadOnly,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testPairs,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testKnownEncodings,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Codec13Test.testStaticEncode,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64InputStreamTest.testReadOutOfBounds,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testConstructor_Int_ByteArray_Boolean_UrlSafe,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testBase64,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64InputStreamTest.testBase64InputStreamByChunk,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeSmall,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.HexTest.testCustomCharsetBadNameDecodeObject,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.HexTest.testHelloWorldUpperCaseHex,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64InputStreamTest.testCodec98NPE,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Codec13Test.testStaticEncodeChunked,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testUUID,inf,inf,inf,inf,inf,inf,inf,inf
