TestCase,MaxChangeProneness,AvgChangeProneness,MinChangeProneness,SumChangeProneness,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualMary,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.RefinedSoundexTest.testNewInstance2,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqual2,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeSmall,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64InputStreamTest.testCodec98NPE,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base32OutputStreamTest.testBase32EmptyOutputStreamMimeChunkSize,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Codec13Test.testStaticEncodeChunked,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testUUID,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.MetaphoneTest.testDiscardOfSilentGN,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqual1,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Codec13Test.testDecoder,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64InputStreamTest.testInputStreamReader,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.RefinedSoundexTest.testGetMappingCodeNonLetter,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.digest.DigestUtilsTest.testMD5Length,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.DoubleMetaphoneTest.testDoubleMetaphone,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.BaseNCodecTest.testIsWhiteSpace,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testBase64,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.SoundexTest.testMsSqlServer3,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testObjectDecodeWithInvalidParameter,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.SoundexTest.testMsSqlServer2,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.BaseNCodecTest.testBaseNCodec,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.MetaphoneTest.testIsMetaphoneEqualKnight,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.RefinedSoundexTest.testNewInstance3,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base32OutputStreamTest.testBase32EmptyOutputStreamPemChunkSize,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.SoundexTest.testUsMappingEWithAcute,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testUrlSafe,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.language.SoundexTest.testUsEnglishStatic,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testDecodePadMarkerIndex2,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64OutputStreamTest.testCodec98NPE,inf,inf,inf,inf,inf,inf,inf,inf
org.apache.commons.codec.binary.Base64Test.testRfc4648Section10DecodeWithCrLf,inf,inf,inf,inf,inf,inf,inf,inf
