TestCase,MaxChangeProneness,AvgChangeProneness,MinChangeProneness,SumChangeProneness,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio
org.mockitousage.matchers.MatchersTest.notOverloaded,,,,0,,,,0
org.mockito.internal.matchers.MatchersToStringTest.sameToStringWithChar,,,,0,,,,0
org.mockito.internal.util.reflection.LenientCopyToolTest.shouldContinueEvenIfThereAreProblemsCopyingSingleFieldValue,,,,0,,,,0
org.mockito.internal.invocation.SerializableMethodTest.shouldBeAbleToRetrieveMethodExceptionTypes,,,,0,,,,0
org.mockito.internal.invocation.ArgumentsComparatorTest.shouldKnowWhenArgumentsMatch,,,,0,,,,0
org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailWhenFirstMockCalledTwice,,,,0,,,,0
org.mockitousage.basicapi.ResetTest.shouldStubbingNotBeTreatedAsInteraction,,,,0,,,,0
org.mockitousage.misuse.DescriptiveMessagesOnMisuseTest.shouldScreamWhenNullPassedToVerifyNoMoreInteractions,,,,0,,,,0
org.mockito.internal.verification.checkers.MissingInvocationInOrderCheckerTest.shouldPassWhenMatchingInteractionFound,,,,0,,,,0
org.mockito.runners.RunnersValidateFrameworkUsageTest.shouldValidateWithD44Runner,,,,0,,,,0
org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailOnSecondMethodBecauseTwoInvocationsWantedAgain,,,,0,,,,0
org.mockitousage.verification.DescriptiveMessagesOnVerificationInOrderErrorsTest.shouldPrintVerificationInOrderErrorAndShowBothWantedAndPrevious,,,,0,,,,0
org.mockito.internal.matchers.ComparableMatchersTest.testLessOrEqual,,,,0,,,,0
org.mockitousage.basicapi.ReplacingObjectMethodsTest.shouldProvideMockyImplementationOfToString,,,,0,,,,0
org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailWhenLastMockCalledTwice,,,,0,,,,0
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testInt,,,,0,,,,0
org.mockitousage.matchers.MatchersTest.matchesMatcher,,,,0,,,,0
org.mockitousage.verification.DescriptiveMessagesOnVerificationInOrderErrorsTest.shouldPrintVerificationInOrderErrorAndShowWantedOnly,,,,0,,,,0
org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldStubbingWithThrowableBeVerifiable,,,,0,,,,0
org.mockito.internal.matchers.LocalizedMatcherTest.shouldDescribeWithTypeInfoWhenActualMatcherHasCorrectType,,,,0,,,,0
org.mockitousage.misuse.ExplicitFrameworkValidationTest.shouldValidateExplicitly,,,,0,,,,0
org.mockitousage.spies.PartialMockingWithSpiesTest.shouldAllowStubbingWithThrowablesMethodsThatDelegateToOtherMethods,,,,0,,,,0
org.mockitousage.verification.RelaxedVerificationInOrderTest.shouldVerifyInteractionsFromAllChunksWhenAtLeastOnceMode,,,,0,,,,0
org.mockitousage.verification.OrdinaryVerificationPrintsAllInteractionsTest.shouldShowAllInteractionsOnMockWhenOrdinaryVerificationFail,,,,0,,,,0
org.mockito.internal.matchers.EqualsTest.shouldMatchTypesSafelyWhenGivenIsNull,,,,0,,,,0
org.mockitousage.customization.BDDMockitoTest.shouldStubWithAnswer,,,,0,,,,0
org.mockito.internal.util.reflection.WhiteboxTest.shouldSetInternalStateOnHierarchy,,,,0,,,,0
org.mockito.internal.matchers.EqualityTest.shouldKnowIfObjectsAreEqual,,,,0,,,,0
org.mockitousage.spies.PartialMockingWithSpiesTest.shouldStub,,,,0,,,,0
org.mockito.internal.matchers.MatchersToStringTest.notNullToString,,,,0,,,,0
org.mockito.MockitoTest.shouldValidateMockWhenVerifyingWithExpectedNumberOfInvocations,,,,0,,,,0
org.mockitousage.spies.SpyingOnRealObjectsTest.shouldToString,,,,0,,,,0
org.mockito.internal.invocation.ArgumentsComparatorTest.shouldNotAllowAnyObjectMatchEntireVararg,,,,0,,,,0
org.mockitousage.verification.NoMoreInteractionsVerificationTest.shouldVerifyWhenWantedNumberOfInvocationsUsed,,,,0,,,,0
org.mockitousage.matchers.CustomMatchersTest.shouldUseCustomPrimitiveNumberMatchers,,,,0,,,,0
org.mockito.internal.matchers.apachecommons.EqualsBuilderTest.testDouble,,,,0,,,,0
org.mockitousage.basicapi.UsingVarargsTest.shouldStubCorrectlyWhenDoubleStringAndMixedVarargsUsed,,,,0,,,,0
org.mockitousage.spies.SpyingOnInterfacesTest.shouldFailFastWhenCallingRealMethodOnInterface,,,,0,,,,0
org.mockitousage.stubbing.CloningParameterTest.shouldReturnDefaultValueWithCloningAnswer,,,,0,,,,0
org.mockitousage.spies.SpyingOnRealObjectsTest.shouldSayNiceMessageWhenSpyingOnPrivateClass,,,,0,,,,0
org.mockito.internal.matchers.MatchersToStringTest.notToString,,,,0,,,,0
org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldLastStubbingVoidBeImportant,,,,0,,,,0
org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailOnVerifyZeroInteractions,,,,0,,,,0
org.mockitousage.verification.BasicVerificationTest.shouldDetectWhenOverloadedMethodCalled,,,,0,,,,0
org.mockito.internal.util.reflection.LenientCopyToolTest.shouldCopyValuesOfInheritedFields,,,,0,,,,0
org.mockitousage.verification.VerificationInOrderMixedWithOrdiraryVerificationTest.shouldFailOnNoMoreInteractions,,,,0,,,,0
org.mockitousage.verification.NoMoreInteractionsVerificationTest.shouldVerifyOneMockButFailOnOther,,,,0,,,,0
org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailOnLastMethodBecauseOneInvocationWanted,,,,0,,,,0
org.mockitousage.examples.use.ExampleTest.managerCountsArticlesAndSavesThemInTheDatabase,,,,0,,,,0
