TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.cli.bug.BugCLI252Test.testAmbiquousOptionName,0.3076923076923077,0.13175054055645766,0.05731707317073171,0.5270021622258306,0.08749788716061903,0.10337330650882519,0.10224828470009058,4.2690582959641254,3.075472829150506,1.9230769230769231,12.301891316602024,2.6970821597083385,2.880248940910454,1.0784692364301969,"[""Option"", ""Options"", ""DefaultParser"", ""BugCLI252Test"", ""Option$Builder""]","[0.3076923076923077, 0.09024390243902439, 0.07174887892376682, 0.05731707317073171]","[1.9230769230769231, 4.029268292682927, 4.2690582959641254, 2.080487804878049]"
org.apache.commons.cli.bug.BugCLI252Test.testExactOptionNameMatch,0.3076923076923077,0.13175054055645766,0.05731707317073171,0.5270021622258306,0.08749788716061903,0.10337330650882519,0.10224828470009058,4.2690582959641254,3.075472829150506,1.9230769230769231,12.301891316602024,2.6970821597083385,2.880248940910454,1.0784692364301969,"[""Option"", ""Options"", ""DefaultParser"", ""BugCLI252Test"", ""Option$Builder""]","[0.3076923076923077, 0.09024390243902439, 0.07174887892376682, 0.05731707317073171]","[1.9230769230769231, 4.029268292682927, 4.2690582959641254, 2.080487804878049]"
org.apache.commons.cli.bug.BugsTest.test31148,0.09024390243902439,0.06415219543562913,0.048223350253807105,0.3849131726137747,0.06059194388865972,0.06227992494514011,0.01606829361392774,4.029268292682927,2.562807679281004,1.975609756097561,15.376846075686025,2.4295368797879697,2.4888862268854255,0.6812273912950555,"[""Option"", ""Options"", ""Properties"", ""PosixParser"", ""BugsTest"", ""Parser"", ""CommandLine""]","[0.09024390243902439, 0.08163265306122448, 0.05853658536585366, 0.05731707317073171, 0.04895960832313342, 0.048223350253807105]","[4.029268292682927, 2.475765306122449, 1.975609756097561, 2.080487804878049, 2.386780905752754, 2.4289340101522843]"
org.apache.commons.cli.bug.BugsTest.test11458,0.09024390243902439,0.05347708705304128,0.0208078335373317,0.37433960937128896,0.04523954347844691,0.04968534813497984,0.018965525882732193,4.029268292682927,2.158011744997021,0.4675642594859241,15.106082214979148,1.4644367410619827,1.8633562202838745,0.9784179196013086,"[""Option"", ""Options"", ""CommandLineParser"", ""PosixParser"", ""OptionBuilder"", ""BugsTest"", ""Iterator"", ""CommandLine""]","[0.09024390243902439, 0.05853658536585366, 0.05731707317073171, 0.05025125628140704, 0.04895960832313342, 0.048223350253807105, 0.0208078335373317]","[4.029268292682927, 1.975609756097561, 2.080487804878049, 1.7374371859296482, 2.386780905752754, 2.4289340101522843, 0.4675642594859241]"
org.apache.commons.cli.ApplicationTest.testNLT,0.09024390243902439,0.051139857745074443,0.0208078335373317,0.3579790042155211,0.042326849155195655,0.04682930782648052,0.02042119957993966,4.029268292682927,1.9438993233786275,0.4675642594859241,13.607295263650393,1.2859632552817823,1.624590365546512,1.0565750117333086,"[""Option"", ""Options"", ""ApplicationTest"", ""CommandLineParser"", ""PosixParser"", ""OptionBuilder"", ""CommandLine""]","[0.09024390243902439, 0.05853658536585366, 0.05731707317073171, 0.05025125628140704, 0.04895960832313342, 0.031862745098039214, 0.0208078335373317]","[4.029268292682927, 1.975609756097561, 2.080487804878049, 1.7374371859296482, 2.386780905752754, 0.9301470588235294, 0.4675642594859241]"
org.apache.commons.cli.ApplicationTest.testGroovy,0.08163265306122448,0.054759986883398254,0.031862745098039214,0.3285599213003895,0.05063728832210344,0.05271981669655842,0.014839127885112517,2.475765306122449,1.9310380029339986,0.9301470588235294,11.586228017603991,1.7339144168317902,1.843493096528624,0.5112102097208341,"[""ApplicationTest"", ""Options"", ""OptionBuilder"", ""PosixParser"", ""Parser"", ""CommandLine""]","[0.08163265306122448, 0.05853658536585366, 0.05731707317073171, 0.05025125628140704, 0.04895960832313342, 0.031862745098039214]","[2.475765306122449, 1.975609756097561, 2.080487804878049, 1.7374371859296482, 2.386780905752754, 0.9301470588235294]"
org.apache.commons.cli.bug.BugsTest.test15046,0.09024390243902439,0.05401472551498032,0.0208078335373317,0.32408835308988193,0.04449985878038138,0.049591651657601106,0.0204356628193555,4.029268292682927,2.2281075048415833,0.4675642594859241,13.3686450290495,1.4270647135708765,1.8852126705782233,1.0404124121996714,"[""Option"", ""Options"", ""CommandLineParser"", ""PosixParser"", ""BugsTest"", ""CommandLine""]","[0.09024390243902439, 0.05853658536585366, 0.05731707317073171, 0.04895960832313342, 0.048223350253807105, 0.0208078335373317]","[4.029268292682927, 1.975609756097561, 2.080487804878049, 2.386780905752754, 2.4289340101522843, 0.4675642594859241]"
org.apache.commons.cli.HelpFormatterTest.testPrintRequiredOptionGroupUsage,0.0951219512195122,0.06476072861994442,0.03048780487804878,0.3238036430997221,0.054590689320926714,0.0597184237191359,0.024498295914259397,6.228048780487805,3.44616959967068,0.6609756097560976,17.2308479983534,1.8949365946696783,2.709544434242351,1.9140994600523162,"[""StringBuilder"", ""Option"", ""Options"", ""Option$Builder"", ""PrintWriter"", ""OptionGroup"", ""HelpFormatterTest"", ""StringWriter"", ""HelpFormatter""]","[0.0951219512195122, 0.09024390243902439, 0.05731707317073171, 0.05063291139240506, 0.03048780487804878]","[6.228048780487805, 4.029268292682927, 2.080487804878049, 4.232067510548523, 0.6609756097560976]"
org.apache.commons.cli.HelpFormatterTest.testPrintOptionGroupUsage,0.0951219512195122,0.06476072861994442,0.03048780487804878,0.3238036430997221,0.054590689320926714,0.0597184237191359,0.024498295914259397,6.228048780487805,3.44616959967068,0.6609756097560976,17.2308479983534,1.8949365946696783,2.709544434242351,1.9140994600523162,"[""StringBuilder"", ""Option"", ""Options"", ""Option$Builder"", ""PrintWriter"", ""OptionGroup"", ""HelpFormatterTest"", ""StringWriter"", ""HelpFormatter""]","[0.0951219512195122, 0.09024390243902439, 0.05731707317073171, 0.05063291139240506, 0.03048780487804878]","[6.228048780487805, 4.029268292682927, 2.080487804878049, 4.232067510548523, 0.6609756097560976]"
org.apache.commons.cli.bug.BugsTest.test12210,0.09024390243902439,0.05359557033163642,0.03048780487804878,0.32157342198981853,0.04748786614627113,0.0503876357899337,0.019267723573098285,4.029268292682927,2.148697873045467,0.6609756097560976,12.8921872382728,1.6033894167507712,1.8904866212183637,1.004112068896846,"[""Option"", ""Options"", ""OptionGroup"", ""GnuParser"", ""BugsTest"", ""CommandLine""]","[0.09024390243902439, 0.05853658536585366, 0.05731707317073171, 0.048223350253807105, 0.03676470588235294, 0.03048780487804878]","[4.029268292682927, 1.975609756097561, 2.080487804878049, 2.4289340101522843, 1.7169117647058822, 0.6609756097560976]"
org.apache.commons.cli.bug.BugsTest.test11456,0.05853658536585366,0.045837201830659646,0.0208078335373317,0.3208604128146175,0.04097141888471836,0.0437034720626688,0.012170034929808725,2.4289340101522843,1.8276750981431575,0.4675642594859241,12.793725687002103,1.3687241363262794,1.6495687817544884,0.6129814028117655,"[""Options"", ""CommandLineParser"", ""PosixParser"", ""OptionBuilder"", ""GnuParser"", ""BugsTest"", ""CommandLine""]","[0.05853658536585366, 0.05731707317073171, 0.05025125628140704, 0.04895960832313342, 0.048223350253807105, 0.03676470588235294, 0.0208078335373317]","[1.975609756097561, 2.080487804878049, 1.7374371859296482, 2.386780905752754, 2.4289340101522843, 1.7169117647058822, 0.4675642594859241]"
org.apache.commons.cli.bug.BugCLI162Test.testPrintHelpLongLines,0.0951219512195122,0.06176003707780546,0.03048780487804878,0.3088001853890273,0.05004635454947713,0.05566517625644308,0.026850876055615043,6.228048780487805,2.9855043160882913,0.6609756097560976,14.927521580441457,1.7118641641220018,2.3154774015399946,1.9464210718655,"[""StringBuilder"", ""Object"", ""Option"", ""Options"", ""PrintWriter"", ""OptionGroup"", ""BugCLI162Test"", ""Class"", ""HelpFormatter"", ""StringWriter""]","[0.0951219512195122, 0.09024390243902439, 0.05731707317073171, 0.035629453681710214, 0.03048780487804878]","[6.228048780487805, 4.029268292682927, 2.080487804878049, 1.9287410926365796, 0.6609756097560976]"
org.apache.commons.cli.CommandLineTest.testGetOptionProperties,0.08163265306122448,0.04993684404305501,0.01511879049676026,0.29962106425833007,0.03749461038718472,0.04438931008018205,0.020489625723136208,2.475765306122449,1.697126015698579,0.19654427645788336,10.182756094191474,0.7856839551425263,1.3467352156241592,0.717003094148727,"[""StringBuilder"", ""CommandLineTest"", ""Options"", ""Properties"", ""OptionBuilder"", ""GnuParser"", ""Parser"", ""CommandLine""]","[0.08163265306122448, 0.05853658536585366, 0.05731707317073171, 0.05025125628140704, 0.03676470588235294, 0.01511879049676026]","[2.475765306122449, 1.975609756097561, 2.080487804878049, 1.7374371859296482, 1.7169117647058822, 0.19654427645788336]"
