TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test.testNestedUnwrappedLists180,0.5,0.27302025782688766,0.04604051565377532,0.5460405156537753,0.08431703204047218,0.1517242822586011,0.22697974217311234,3.1666666666666665,1.9461325966850829,0.7255985267034991,3.8922651933701657,1.1806639854901033,1.5158260678238824,1.2205340699815836,"[""NestedUnwrappedLists180Test"", ""XmlMapper"", ""List""]","[0.5, 0.04604051565377532]","[3.1666666666666665, 0.7255985267034991]"
com.fasterxml.jackson.dataformat.xml.jaxb.JAXBObjectId170Test.testPolyIdList178,0.2857142857142857,0.12229164974745595,0.03512014787430684,0.36687494924236785,0.05587249308945481,0.07730533921615602,0.11564322164274604,4.571428571428571,2.0866861738074243,0.7255985267034991,6.260058521422273,1.1383858646844833,1.4727519154384514,1.759649999668012,"[""Object"", ""JAXBObjectId170Test"", ""XmlMapper"", ""JacksonAnnotationIntrospector"", ""XmlJaxbAnnotationIntrospector"", ""List"", ""XmlAnnotationIntrospector$Pair""]","[0.2857142857142857, 0.04604051565377532, 0.03512014787430684]","[4.571428571428571, 0.7255985267034991, 0.9630314232902033]"
com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual.testIssue54,0.06261510128913444,0.04546872215291392,0.016129032258064516,0.18187488861165568,0.0341277368162189,0.04036429395837913,0.0179596932865595,4.21731123388582,1.9930270896453397,0.20967741935483872,7.972108358581359,0.5935430165621531,1.1597510308789447,1.6137877526292101,"[""XmlFactory"", ""Object"", ""TestSerializationManual$Value"", ""StringWriter"", ""TestSerializationManual"", ""XmlMapper"", ""Iterator"", ""String"", ""QName"", ""ArrayList"", ""ToXmlGenerator""]","[0.06261510128913444, 0.0570902394106814, 0.04604051565377532, 0.016129032258064516]","[2.8195211786372005, 4.21731123388582, 0.7255985267034991, 0.20967741935483872]"
com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest.testForceElementAsArray,0.07366482504604052,0.037864595679915375,0.005128205128205128,0.1514583827196615,0.012343942165000387,0.02208108396928319,0.030575942228530734,4.068139963167588,1.7690258382150161,0.0,7.0761033528600645,0.5078591713116977,1.2929542148585738,1.6170508152009815,"[""XmlFactory"", ""FromXmlParser"", ""XmlReadContext"", ""XmlParserTest"", ""StringReader""]","[0.07366482504604052, 0.06261510128913444, 0.010050251256281407, 0.005128205128205128]","[4.068139963167588, 2.8195211786372005, 0.1884422110552764, 0.0]"
com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest.testXmlAttributes,0.07366482504604052,0.047136043821126704,0.005128205128205128,0.1414081314633801,0.01336031593217675,0.028705704681820435,0.030044611081011655,4.068139963167588,2.2958870472682626,0.0,6.887661141804788,3.3306536275987044,3.3867693726930055,0.6243093922651937,"[""XmlParserTest"", ""XmlFactory"", ""StringReader"", ""FromXmlParser""]","[0.07366482504604052, 0.06261510128913444, 0.005128205128205128]","[4.068139963167588, 2.8195211786372005, 0.0]"
com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability.testXmlFactory,0.06261510128913444,0.04640131598071856,0.019498607242339833,0.13920394794215568,0.03538886339617332,0.04115426480641811,0.019156336250103174,4.21731123388582,2.4978856416859467,0.4568245125348189,7.49365692505784,1.078821409203109,1.7578702022085393,1.5519669582687086,"[""ClassNotFoundException"", ""XmlFactory"", ""TestJDKSerializability"", ""StringWriter"", ""ByteArrayInputStream"", ""ObjectOutputStream"", ""StringBuilder"", ""ByteArrayOutputStream"", ""ObjectInputStream"", ""QName"", ""ToXmlGenerator""]","[0.06261510128913444, 0.0570902394106814, 0.019498607242339833]","[2.8195211786372005, 4.21731123388582, 0.4568245125348189]"
com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest.testSimpleElement,0.06261510128913444,0.04161118194267365,0.005128205128205128,0.12483354582802096,0.013129866085331671,0.026367489401235723,0.0258957747213425,4.21731123388582,2.34561080417434,0.0,7.036832412523021,3.3795883271809424,3.4483036903448125,0.6988950276243096,"[""XmlFactory"", ""StringWriter"", ""XmlGeneratorTest"", ""QName"", ""ToXmlGenerator""]","[0.06261510128913444, 0.0570902394106814, 0.005128205128205128]","[2.8195211786372005, 4.21731123388582, 0.0]"
com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest.testSecondLevelAttribute,0.06261510128913444,0.04161118194267365,0.005128205128205128,0.12483354582802096,0.013129866085331671,0.026367489401235723,0.0258957747213425,4.21731123388582,2.34561080417434,0.0,7.036832412523021,3.3795883271809424,3.4483036903448125,0.6988950276243096,"[""XmlFactory"", ""StringWriter"", ""XmlGeneratorTest"", ""QName"", ""ToXmlGenerator""]","[0.06261510128913444, 0.0570902394106814, 0.005128205128205128]","[2.8195211786372005, 4.21731123388582, 0.0]"
com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest.testAttrAndElem,0.06261510128913444,0.04161118194267365,0.005128205128205128,0.12483354582802096,0.013129866085331671,0.026367489401235723,0.0258957747213425,4.21731123388582,2.34561080417434,0.0,7.036832412523021,3.3795883271809424,3.4483036903448125,0.6988950276243096,"[""XmlFactory"", ""StringWriter"", ""XmlGeneratorTest"", ""QName"", ""ToXmlGenerator""]","[0.06261510128913444, 0.0570902394106814, 0.005128205128205128]","[2.8195211786372005, 4.21731123388582, 0.0]"
com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest.testSimpleAttribute,0.06261510128913444,0.04161118194267365,0.005128205128205128,0.12483354582802096,0.013129866085331671,0.026367489401235723,0.0258957747213425,4.21731123388582,2.34561080417434,0.0,7.036832412523021,3.3795883271809424,3.4483036903448125,0.6988950276243096,"[""XmlFactory"", ""StringWriter"", ""XmlGeneratorTest"", ""QName"", ""ToXmlGenerator""]","[0.06261510128913444, 0.0570902394106814, 0.005128205128205128]","[2.8195211786372005, 4.21731123388582, 0.0]"
