TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.math.linear.QRDecompositionImplTest.testAEqualQR,0.23076923076923078,0.11128752623414546,0.03914590747330961,0.5564376311707273,0.07427769609838562,0.09016865018987155,0.07149335287016084,6.406880189798339,1.7874806095446665,0.0,8.937403047723333,1.0116969839488794,1.3653684372815178,2.416730156411606,"[""QRDecomposition"", ""RealMatrixImpl"", ""RealMatrix"", ""QRDecompositionImplTest"", ""QRDecompositionImpl""]","[0.23076923076923078, 0.15384615384615385, 0.07692307692307693, 0.05575326215895611, 0.03914590747330961]","[0.7692307692307693, 0.6153846153846154, 0.0, 6.406880189798339, 1.1459074733096086]"
org.apache.commons.math.linear.QRDecompositionImplTest.testDimensions,0.23076923076923078,0.11128752623414546,0.03914590747330961,0.5564376311707273,0.07427769609838562,0.09016865018987155,0.07149335287016084,6.406880189798339,1.7874806095446665,0.0,8.937403047723333,1.0116969839488794,1.3653684372815178,2.416730156411606,"[""QRDecomposition"", ""RealMatrixImpl"", ""RealMatrix"", ""QRDecompositionImplTest"", ""QRDecompositionImpl""]","[0.23076923076923078, 0.15384615384615385, 0.07692307692307693, 0.05575326215895611, 0.03914590747330961]","[0.7692307692307693, 0.6153846153846154, 0.0, 6.406880189798339, 1.1459074733096086]"
org.apache.commons.math.linear.QRDecompositionImplTest.testQOrthogonal,0.23076923076923078,0.08667214161876083,0.03076923076923077,0.43336070809380417,0.05358197766208462,0.06535240395888686,0.07375482471625543,6.406880189798339,1.863378045442102,0.0,9.31689022721051,1.1997932803111377,1.53958964049907,2.3580496544765186,"[""RealMatrixImpl"", ""RealMatrix"", ""MatrixUtils"", ""QRDecompositionImplTest"", ""QRDecompositionImpl""]","[0.23076923076923078, 0.07692307692307693, 0.05575326215895611, 0.03914590747330961, 0.03076923076923077]","[0.7692307692307693, 0.0, 6.406880189798339, 1.1459074733096086, 0.9948717948717949]"
org.apache.commons.math.transform.FastSineTransformerTest.testAdHocData,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastSineTransformer"", ""FastFourierTransformer"", ""Math"", ""FastSineTransformerTest""]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[0.0, 0.0, 0.0]"
org.apache.commons.math.transform.FastCosineTransformerTest.testAdHocData,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,"[""FastFourierTransformer"", ""FastCosineTransformerTest"", ""Math"", ""FastCosineTransformer""]","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[0.0, 0.0, 0.0]"
org.apache.commons.math.linear.QRDecompositionImplTest.testRUpperTriangular,0.23076923076923078,0.10064786933114335,0.03914590747330961,0.4025914773245734,0.06577329205716467,0.07889469465516358,0.0763093237141024,6.406880189798339,2.080504608084679,0.0,8.322018432338716,1.288243098938426,1.780810061380302,2.5734285442718967,"[""RealMatrix"", ""QRDecompositionImplTest"", ""QRDecompositionImpl"", ""RealMatrixImpl""]","[0.23076923076923078, 0.07692307692307693, 0.05575326215895611, 0.03914590747330961]","[0.7692307692307693, 0.0, 6.406880189798339, 1.1459074733096086]"
org.apache.commons.math.transform.FastFourierTransformerTest.testSinFunction,0.14285714285714285,0.08307226719171588,0.019908116385911178,0.33228906876686354,0.039319470699432896,0.05737209459644861,0.05983260907371288,0.6584992343032159,0.2609581419091373,0.0,1.0438325676365492,0.4861731906411563,0.5037278083960681,0.13658295048494126,"[""SinFunction"", ""FastFourierTransformerTest"", ""Object"", ""FastFourierTransformer"", ""Complex""]","[0.14285714285714285, 0.14285714285714285, 0.02666666666666667, 0.019908116385911178]","[0.0, 0.0, 0.38533333333333336, 0.6584992343032159]"
org.apache.commons.math.transform.FastSineTransformerTest.testParameters,0.14285714285714285,0.10412698412698412,0.02666666666666667,0.31238095238095237,0.058252427184466014,0.08164398935536568,0.0547727157490532,0.38533333333333336,0.12844444444444444,0.0,0.38533333333333336,0.38533333333333336,0.38533333333333336,0.0,"[""FastSineTransformer"", ""SinFunction"", ""Object"", ""FastSineTransformerTest""]","[0.14285714285714285, 0.14285714285714285, 0.02666666666666667]","[0.0, 0.0, 0.38533333333333336]"
org.apache.commons.math.transform.FastSineTransformerTest.testSinFunction,0.14285714285714285,0.10412698412698412,0.02666666666666667,0.31238095238095237,0.058252427184466014,0.08164398935536568,0.0547727157490532,0.38533333333333336,0.12844444444444444,0.0,0.38533333333333336,0.38533333333333336,0.38533333333333336,0.0,"[""FastSineTransformer"", ""SinFunction"", ""Object"", ""FastSineTransformerTest""]","[0.14285714285714285, 0.14285714285714285, 0.02666666666666667]","[0.0, 0.0, 0.38533333333333336]"
org.apache.commons.math.transform.FastFourierTransformerTest.testParameters,0.14285714285714285,0.10412698412698412,0.02666666666666667,0.31238095238095237,0.058252427184466014,0.08164398935536568,0.0547727157490532,0.38533333333333336,0.12844444444444444,0.0,0.38533333333333336,0.38533333333333336,0.38533333333333336,0.0,"[""SinFunction"", ""FastFourierTransformerTest"", ""Object"", ""FastFourierTransformer""]","[0.14285714285714285, 0.14285714285714285, 0.02666666666666667]","[0.0, 0.0, 0.38533333333333336]"
