TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.joda.time.TestBaseSingleFieldPeriod.testFactory_between_RPartial,0.078125,0.03552179368645319,0.013579049466537343,0.3196961431780787,0.027000703546054283,0.030686338732817918,0.020379820058999906,13.78125,4.8033913533701575,1.4151309408341417,43.23052218033142,2.9301828811887316,3.612350704875825,4.060159200845582,"[""YearMonthDay"", ""TestBaseSingleFieldPeriod$Single"", ""TestBaseSingleFieldPeriod"", ""DateTimeFieldType"", ""LocalTime"", ""LocalDate"", ""DurationFieldType"", ""Partial"", ""BaseSingleFieldPeriod"", ""PeriodType""]","[0.078125, 0.06262230919765166, 0.04282315622521808, 0.02756892230576441, 0.027548209366391185, 0.02506265664160401, 0.022968197879858657, 0.019398642095053348, 0.013579049466537343]","[13.78125, 10.414872798434443, 3.0793021411578114, 1.8170426065162908, 3.0633608815426996, 2.6165413533834587, 4.471731448763251, 2.571290009699321, 1.4151309408341417]"
org.joda.time.TestStringConvert.testMonthDay_leapDay,0.19047619047619047,0.15018315018315018,0.10989010989010989,0.30036630036630035,0.13937282229965156,0.1446770524405238,0.04029304029304029,20.505494505494507,15.347985347985349,10.19047619047619,30.695970695970697,13.614865325605182,14.455474863600367,5.157509157509159,"[""MonthDay"", ""TestStringConvert"", ""StringConvert""]","[0.19047619047619047, 0.10989010989010989]","[10.19047619047619, 20.505494505494507]"
org.joda.time.TestStringConvert.testMonthDay,0.19047619047619047,0.15018315018315018,0.10989010989010989,0.30036630036630035,0.13937282229965156,0.1446770524405238,0.04029304029304029,20.505494505494507,15.347985347985349,10.19047619047619,30.695970695970697,13.614865325605182,14.455474863600367,5.157509157509159,"[""MonthDay"", ""TestStringConvert"", ""StringConvert""]","[0.19047619047619047, 0.10989010989010989]","[10.19047619047619, 20.505494505494507]"
org.joda.time.TestMonthDay_Basics.testCompareTo,0.10989010989010989,0.048758247797430605,0.018145161290322582,0.29254948678458365,0.032218248803934806,0.03926813777057435,0.03218852431857836,20.505494505494507,8.624175213394222,0.728494623655914,51.74505128036534,2.6064571480810863,5.106057662469819,7.168786542485098,"[""TestMonthDay_Basics"", ""DateTimeFieldType"", ""LocalTime"", ""GregorianChronology"", ""Partial"", ""MonthDay""]","[0.10989010989010989, 0.06262230919765166, 0.054945054945054944, 0.027548209366391185, 0.019398642095053348, 0.018145161290322582]","[20.505494505494507, 10.414872798434443, 14.461538461538462, 3.0633608815426996, 2.571290009699321, 0.728494623655914]"
org.joda.time.TestLocalDate_Basics.testCompareTo,0.078125,0.04059137629941584,0.018145161290322582,0.28413963409591086,0.03182869152157297,0.03597431260322829,0.019583452250839857,13.78125,4.627572625747374,0.728494623655914,32.39300838023161,2.387531449851821,3.376189916921985,3.9467675083530143,"[""YearMonthDay"", ""TimeOfDay"", ""DateTimeFieldType"", ""TestLocalDate_Basics"", ""GregorianChronology"", ""LocalDate"", ""Partial""]","[0.078125, 0.05057471264367816, 0.047524752475247525, 0.04282315622521808, 0.027548209366391185, 0.019398642095053348, 0.018145161290322582]","[13.78125, 3.888122605363985, 5.281188118811881, 3.0793021411578114, 3.0633608815426996, 2.571290009699321, 0.728494623655914]"
org.joda.time.TestChronology.testToString,0.03763440860215054,0.020268802927981163,0.009446693657219974,0.2837632409917363,0.017786565053702103,0.019027108547630463,0.007147621222909576,3.200940860215054,1.5071816588976221,0.6120107962213225,21.10054322456671,1.1052113096751535,1.277855594130359,0.8930536448977527,"[""LimitChronology"", ""StrictChronology"", ""GJChronology"", ""TestChronology"", ""EthiopicChronology"", ""BuddhistChronology"", ""DateTimeZone"", ""IslamicChronology"", ""GregorianChronology"", ""LenientChronology"", ""JulianChronology"", ""ISOChronology"", ""ZonedChronology"", ""CopticChronology""]","[0.03763440860215054, 0.028862478777589132, 0.025603511338697878, 0.024193548387096774, 0.02217741935483871, 0.021241830065359478, 0.020833333333333332, 0.018145161290322582, 0.018145161290322582, 0.016801075268817203, 0.0155195681511471, 0.015037593984962405, 0.010121457489878543, 0.009446693657219974]","[2.9966397849462365, 2.8556876061120544, 0.986100950987564, 3.200940860215054, 2.194220430107527, 1.3480392156862746, 0.9354838709677419, 1.2560483870967742, 0.728494623655914, 0.7950268817204301, 1.6720647773279351, 0.9050751879699248, 0.6147098515519568, 0.6120107962213225]"
org.joda.time.TestStringConvert.testLocalDate,0.19047619047619047,0.13430059523809523,0.078125,0.26860119047619047,0.11080332409972299,0.12198750911856666,0.05617559523809523,13.78125,11.985863095238095,10.19047619047619,23.97172619047619,11.71692842510398,11.85063289449133,1.795386904761905,"[""StringConvert"", ""TestStringConvert"", ""LocalDate""]","[0.19047619047619047, 0.078125]","[10.19047619047619, 13.78125]"
org.joda.time.TestMonthDay_Constructors.testConstructor_DateTimeZone,0.10989010989010989,0.06647462080929822,0.025757575757575757,0.2658984832371929,0.04824067638292894,0.0569721293452966,0.03385590661841453,20.505494505494507,9.413734820287239,1.3242424242424242,37.654939281148955,3.7552061696626025,6.368302186205364,7.018769921126196,"[""TestMonthDay_Constructors"", ""DateTimeUtils"", ""MonthDay"", ""DateTime""]","[0.10989010989010989, 0.08791208791208792, 0.04233870967741935, 0.025757575757575757]","[20.505494505494507, 9.340659340659341, 6.484543010752688, 1.3242424242424242]"
org.joda.time.TestMonthDay_Constructors.testConstructor_nullDateTimeZone,0.10989010989010989,0.06647462080929822,0.025757575757575757,0.2658984832371929,0.04824067638292894,0.0569721293452966,0.03385590661841453,20.505494505494507,9.413734820287239,1.3242424242424242,37.654939281148955,3.7552061696626025,6.368302186205364,7.018769921126196,"[""TestMonthDay_Constructors"", ""DateTimeUtils"", ""MonthDay"", ""DateTime""]","[0.10989010989010989, 0.08791208791208792, 0.04233870967741935, 0.025757575757575757]","[20.505494505494507, 9.340659340659341, 6.484543010752688, 1.3242424242424242]"
org.joda.time.TestMonthDay_Constructors.testParse_formatter,0.10989010989010989,0.05286689117334279,0.016801075268817203,0.26433445586671395,0.031063675052031652,0.03978647517416621,0.0383583928102319,20.505494505494507,7.21439205955335,0.7950268817204301,36.07196029776675,2.324904647465636,4.073869899780029,7.250840956508257,"[""TestMonthDay_Constructors"", ""DateTimeFormatter"", ""DateTimeFormat"", ""ISOChronology"", ""MonthDay""]","[0.10989010989010989, 0.08791208791208792, 0.026881720430107527, 0.0228494623655914, 0.016801075268817203]","[20.505494505494507, 9.340659340659341, 2.649193548387097, 2.7815860215053765, 0.7950268817204301]"
