TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.compress.archivers.zip.ScatterSampleTest.testSample,0.08076923076923077,0.04200830368251328,0.01014957264957265,0.3780747331426195,0.026883661482738012,0.03414839928130748,0.024280967745451586,2.1935110081112397,0.6945575350331991,0.036036036036036036,6.251017815298791,0.132480332460947,0.32705794255076337,0.6801987957762784,"[""ZipArchiveOutputStream"", ""ScatterSampleTest"", ""ParallelScatterZipCreator"", ""ScatterZipOutputStream"", ""ZipArchiveEntryRequest"", ""Object"", ""ScatterSample"", ""ScatterSampleTest$1"", ""ZipArchiveEntry"", ""String"", ""File"", ""ZipFile"", ""IOUtils"", ""ByteArrayInputStream"", ""Enumeration""]","[0.08076923076923077, 0.07300115874855156, 0.058394160583941604, 0.05284319356691557, 0.04224537037037037, 0.023696682464454975, 0.018957345971563982, 0.018018018018018018, 0.01014957264957265]","[1.1153846153846154, 2.1935110081112397, 0.708029197080292, 1.189546237794371, 0.7060185185185185, 0.12322274881516587, 0.052132701421800945, 0.036036036036036036, 0.12713675213675213]"
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreatorTest.callableApi,0.08076923076923077,0.04630832312358053,0.01014957264957265,0.32415826186506375,0.030589095862416597,0.03915936509113506,0.022841916310113505,2.1935110081112397,0.8882149077848487,0.12713675213675213,6.217504354493941,0.42965640738072536,0.6481311166768753,0.6413990952404345,"[""ZipArchiveOutputStream"", ""ParallelScatterZipCreator"", ""ParallelScatterZipCreatorTest"", ""Map"", ""FileBasedScatterGatherBackingStore"", ""HashMap"", ""ParallelScatterZipCreatorTest$1"", ""File"", ""ZipFile"", ""IOUtils"", ""ParallelScatterZipCreatorTest$3"", ""Executors"", ""Enumeration"", ""StringBuilder"", ""Object"", ""String"", ""ByteArrayInputStream"", ""ZipArchiveEntry""]","[0.08076923076923077, 0.07300115874855156, 0.05284319356691557, 0.04224537037037037, 0.03461538461538462, 0.030534351145038167, 0.01014957264957265]","[1.1153846153846154, 2.1935110081112397, 1.189546237794371, 0.7060185185185185, 0.5538461538461539, 0.3320610687022901, 0.12713675213675213]"
org.apache.commons.compress.archivers.zip.ParallelScatterZipCreatorTest.concurrent,0.08076923076923077,0.0489373184533376,0.01014957264957265,0.2936239107200256,0.03059823907264537,0.04081722412439264,0.023671305042126636,2.1935110081112397,0.9809072142986084,0.12713675213675213,5.88544328579165,0.45178702948033506,0.7245533312732721,0.6479314933925528,"[""ZipArchiveOutputStream"", ""ParallelScatterZipCreator"", ""ParallelScatterZipCreatorTest"", ""Map"", ""HashMap"", ""File"", ""ZipFile"", ""IOUtils"", ""Enumeration"", ""StringBuilder"", ""String"", ""Object"", ""ParallelScatterZipCreatorTest$2"", ""ByteArrayInputStream"", ""ZipArchiveEntry""]","[0.08076923076923077, 0.07300115874855156, 0.05284319356691557, 0.04224537037037037, 0.03461538461538462, 0.01014957264957265]","[1.1153846153846154, 2.1935110081112397, 1.189546237794371, 0.7060185185185185, 0.5538461538461539, 0.12713675213675213]"
org.apache.commons.compress.archivers.zip.ScatterZipOutputStreamTest.putArchiveEntry,0.07300115874855156,0.04159254632890475,0.01014957264957265,0.29114782430233327,0.027467689967313483,0.03493553239874217,0.020584975833251327,2.1935110081112397,0.7419791988589964,0.036036036036036036,5.193854392012975,0.15901101471408635,0.3909470962065507,0.7014848296568633,"[""ZipArchiveOutputStream"", ""String"", ""ScatterZipOutputStream"", ""ZipArchiveEntryRequest"", ""Object"", ""ScatterZipOutputStreamTest$1"", ""File"", ""ScatterZipOutputStreamTest"", ""ZipFile"", ""IOUtils"", ""Iterable"", ""Iterator"", ""ByteArrayInputStream"", ""ZipArchiveEntry""]","[0.07300115874855156, 0.058394160583941604, 0.05284319356691557, 0.04224537037037037, 0.0364963503649635, 0.018018018018018018, 0.01014957264957265]","[2.1935110081112397, 0.708029197080292, 1.189546237794371, 0.7060185185185185, 0.23357664233576642, 0.036036036036036036, 0.12713675213675213]"
org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestampTest.testWriteReadRoundtrip,0.07300115874855156,0.03797106534973999,0.010443864229765013,0.22782639209843997,0.02510468405937796,0.031434565884430644,0.021057627413344996,2.1935110081112397,0.8785633062086552,0.12402088772845953,5.271379837251931,0.3937957648094334,0.6151950714733957,0.6775610848951304,"[""X5455_ExtendedTimestampTest"", ""ZipArchiveOutputStream"", ""FileOutputStream"", ""AbstractTestCase"", ""X5455_ExtendedTimestamp"", ""File"", ""ZipFile"", ""OutputStream"", ""Date"", ""ZipArchiveEntry""]","[0.07300115874855156, 0.05284319356691557, 0.04224537037037037, 0.031016042780748664, 0.018276762402088774, 0.010443864229765013]","[2.1935110081112397, 1.189546237794371, 0.7060185185185185, 0.7358288770053476, 0.3224543080939948, 0.12402088772845953]"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testZipFileReadsUnicodeFields,0.07300115874855156,0.027109855612606686,0.0029850746268656717,0.2168788449008535,0.009721016755356335,0.01644711381406153,0.024264414543177345,2.1935110081112397,0.643923377856477,0.010149253731343283,5.151387022851816,0.05020955577839491,0.20706942483695642,0.7582366479327509,"[""ZipArchiveOutputStream"", ""String"", ""UTF8ZipFilesTest"", ""ZipEncodingHelper"", ""ByteBuffer"", ""ZipArchiveInputStream"", ""UnicodePathExtraField"", ""File"", ""FileInputStream"", ""ArchiveEntry"", ""ZipEncoding"", ""ZipArchiveEntry""]","[0.07300115874855156, 0.053418803418803416, 0.04224537037037037, 0.0188124632569077, 0.012910798122065728, 0.007629107981220657, 0.005876068376068376, 0.0029850746268656717]","[2.1935110081112397, 1.5539529914529915, 0.7060185185185185, 0.34156378600823045, 0.2681924882629108, 0.0357981220657277, 0.042200854700854704, 0.010149253731343283]"
org.apache.commons.compress.archivers.sevenz.SevenZFileTest.testReadingBackDeltaDistance,0.08104196816208394,0.04273839252603247,0.016826923076923076,0.21369196263016232,0.031484084332368746,0.03671584991599887,0.022871496090351887,1.393632416787265,0.7601516523371686,0.055288461538461536,3.8007582616858433,0.21887745874472372,0.5092925531207965,0.44604640818663127,"[""SevenZFile"", ""SevenZMethodConfiguration"", ""Arrays"", ""SevenZOutputFile"", ""SevenZFileTest"", ""File"", ""Iterable"", ""SevenZArchiveEntry"", ""Integer"", ""Iterator""]","[0.08104196816208394, 0.05214723926380368, 0.04052098408104197, 0.023154848046309694, 0.016826923076923076]","[1.393632416787265, 1.0030674846625767, 0.7814761215629522, 0.5672937771345875, 0.055288461538461536]"
org.apache.commons.compress.archivers.sevenz.SevenZFileTest.testReadingBackLZMA2DictSize,0.08104196816208394,0.04273839252603247,0.016826923076923076,0.21369196263016232,0.031484084332368746,0.03671584991599887,0.022871496090351887,1.393632416787265,0.7601516523371686,0.055288461538461536,3.8007582616858433,0.21887745874472372,0.5092925531207965,0.44604640818663127,"[""SevenZFile"", ""SevenZMethodConfiguration"", ""Arrays"", ""SevenZOutputFile"", ""SevenZFileTest"", ""File"", ""Iterable"", ""SevenZArchiveEntry"", ""Integer"", ""Iterator""]","[0.08104196816208394, 0.05214723926380368, 0.04052098408104197, 0.023154848046309694, 0.016826923076923076]","[1.393632416787265, 1.0030674846625767, 0.7814761215629522, 0.5672937771345875, 0.055288461538461536]"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripImplicitUnicodeExtra,0.07300115874855156,0.030061023810413895,0.0029850746268656717,0.21042716667289726,0.010720062343213587,0.019022828462681912,0.024402280268327154,2.1935110081112397,0.6778256306417632,0.010149253731343283,4.744779414492342,0.05153381025581755,0.25016205258860846,0.7269129823861166,"[""ZipArchiveOutputStream"", ""StringBuilder"", ""String"", ""UTF8ZipFilesTest"", ""ZipEncodingHelper"", ""ZipArchiveEntry"", ""ByteBuffer"", ""UnicodePathExtraField"", ""File"", ""ZipFile"", ""AssertionError"", ""ZipEncoding"", ""Enumeration""]","[0.07300115874855156, 0.05284319356691557, 0.04224537037037037, 0.0188124632569077, 0.012910798122065728, 0.007629107981220657, 0.0029850746268656717]","[2.1935110081112397, 1.189546237794371, 0.7060185185185185, 0.34156378600823045, 0.2681924882629108, 0.0357981220657277, 0.010149253731343283]"
org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest.testUtf8FileRoundtripExplicitUnicodeExtra,0.07300115874855156,0.030061023810413895,0.0029850746268656717,0.21042716667289726,0.010720062343213587,0.019022828462681912,0.024402280268327154,2.1935110081112397,0.6778256306417632,0.010149253731343283,4.744779414492342,0.05153381025581755,0.25016205258860846,0.7269129823861166,"[""ZipArchiveOutputStream"", ""StringBuilder"", ""String"", ""UTF8ZipFilesTest"", ""ZipEncodingHelper"", ""ZipArchiveEntry"", ""ByteBuffer"", ""UnicodePathExtraField"", ""File"", ""ZipFile"", ""AssertionError"", ""ZipEncoding"", ""Enumeration""]","[0.07300115874855156, 0.05284319356691557, 0.04224537037037037, 0.0188124632569077, 0.012910798122065728, 0.007629107981220657, 0.0029850746268656717]","[2.1935110081112397, 1.189546237794371, 0.7060185185185185, 0.34156378600823045, 0.2681924882629108, 0.0357981220657277, 0.010149253731343283]"
