TestCase,Max,Avg,Min,Sum,HarmonicMean,GeometricMean,StandardDeviation,MaxLinesRatio,AvgLinesRatio,MinLinesRatio,SumLinesRatio,HarmonicMeanLinesRatio,GeometricMeanLinesRatio,StandardDeviationLinesRatio,used_classes,changeProneness,linesRatio
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testMethodLookup,0.12307692307692308,0.055952827660144734,0.027692307692307693,0.3916697936210131,0.03975506503684013,0.046154000534500146,0.03702600000608437,7.055384615384615,1.982428303403913,0.4276923076923077,13.876998123827391,0.7530776504486842,1.1072826706969259,2.300687046424036,"[""Locale"", ""NodePointer"", ""ExpressionContext"", ""String"", ""Pointer"", ""ExtensionFunctionTest"", ""Number"", ""TestFunctions"", ""ExtensionFunctionTest$Context"", ""Function"", ""Object"", ""Functions""]","[0.12307692307692308, 0.1024390243902439, 0.04923076923076923, 0.033846153846153845, 0.027692307692307693, 0.027692307692307693, 0.027692307692307693]","[7.055384615384615, 3.4585365853658536, 1.3138461538461539, 0.6953846153846154, 0.48307692307692307, 0.4430769230769231, 0.4276923076923077]"
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testMethodLookupWithExpressionContextAndArgument,0.12307692307692308,0.055952827660144734,0.027692307692307693,0.3916697936210131,0.03975506503684013,0.046154000534500146,0.03702600000608437,7.055384615384615,1.982428303403913,0.4276923076923077,13.876998123827391,0.7530776504486842,1.1072826706969259,2.300687046424036,"[""Integer"", ""Locale"", ""NodePointer"", ""ExpressionContext"", ""String"", ""Pointer"", ""ExtensionFunctionTest"", ""Number"", ""TestFunctions"", ""ExtensionFunctionTest$Context"", ""Function"", ""Object"", ""Functions""]","[0.12307692307692308, 0.1024390243902439, 0.04923076923076923, 0.033846153846153845, 0.027692307692307693, 0.027692307692307693, 0.027692307692307693]","[7.055384615384615, 3.4585365853658536, 1.3138461538461539, 0.6953846153846154, 0.48307692307692307, 0.4430769230769231, 0.4276923076923077]"
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testMethodLookupWithExpressionContext,0.12307692307692308,0.055952827660144734,0.027692307692307693,0.3916697936210131,0.03975506503684013,0.046154000534500146,0.03702600000608437,7.055384615384615,1.982428303403913,0.4276923076923077,13.876998123827391,0.7530776504486842,1.1072826706969259,2.300687046424036,"[""Integer"", ""Locale"", ""NodePointer"", ""ExpressionContext"", ""String"", ""Pointer"", ""ExtensionFunctionTest"", ""Number"", ""TestFunctions"", ""ExtensionFunctionTest$Context"", ""Function"", ""Object"", ""Functions""]","[0.12307692307692308, 0.1024390243902439, 0.04923076923076923, 0.033846153846153845, 0.027692307692307693, 0.027692307692307693, 0.027692307692307693]","[7.055384615384615, 3.4585365853658536, 1.3138461538461539, 0.6953846153846154, 0.48307692307692307, 0.4430769230769231, 0.4276923076923077]"
org.apache.commons.jxpath.ri.compiler.CoreFunctionTest.testExtendedKeyFunction,0.12307692307692308,0.08213883677298311,0.024615384615384615,0.32855534709193246,0.05578615307986054,0.06989986459032761,0.03780965896054192,7.055384615384615,3.374859287054409,0.44,13.499437148217636,1.2611335962242511,2.227354745675811,2.4801838434535353,"[""Arrays"", ""CoreFunctionTest$3"", ""Variables"", ""NodePointer"", ""CoreFunctionTest"", ""CoreFunctionTest$3$1"", ""Object"", ""JXPathContext""]","[0.12307692307692308, 0.1076923076923077, 0.07317073170731707, 0.024615384615384615]","[7.055384615384615, 4.0430769230769235, 1.9609756097560975, 0.44]"
org.apache.commons.jxpath.ri.model.MixedModelTest.testCreatePath,0.1076923076923077,0.05164841444433122,0.03076923076923077,0.30989048666598734,0.04296553095962036,0.04651530124737186,0.026688415360955845,4.180487804878049,1.8676632559886672,0.556923076923077,11.205979535932004,0.9939669772109743,1.302640823549601,1.5911081355039174,"[""Integer"", ""NestedTestBean"", ""AbstractFactory"", ""HashMap"", ""MixedModelTest"", ""TestMixedModelFactory"", ""TestBean"", ""Object"", ""JXPathContext""]","[0.1076923076923077, 0.05853658536585366, 0.04390243902439024, 0.03514376996805112, 0.033846153846153845, 0.03076923076923077]","[4.0430769230769235, 4.180487804878049, 0.9365853658536586, 0.7412140575079872, 0.7476923076923077, 0.556923076923077]"
org.apache.commons.jxpath.ri.compiler.CoreFunctionTest.testKeyFunction,0.12307692307692308,0.10131332082551596,0.07317073170731707,0.30393996247654786,0.09653323118176595,0.09898428200974618,0.020867448164385294,7.055384615384615,4.353145716072546,1.9609756097560975,13.059437148217636,3.3369582205105326,3.8244439171582236,2.091308644756445,"[""CoreFunctionTest"", ""CoreFunctionTest$2"", ""NodePointer"", ""Object"", ""JXPathContext""]","[0.12307692307692308, 0.1076923076923077, 0.07317073170731707]","[7.055384615384615, 4.0430769230769235, 1.9609756097560975]"
org.apache.commons.jxpath.ri.compiler.CoreFunctionTest.testIDFunction,0.12307692307692308,0.10131332082551596,0.07317073170731707,0.30393996247654786,0.09653323118176595,0.09898428200974618,0.020867448164385294,7.055384615384615,4.353145716072546,1.9609756097560975,13.059437148217636,3.3369582205105326,3.8244439171582236,2.091308644756445,"[""CoreFunctionTest"", ""CoreFunctionTest$1"", ""NodePointer"", ""Object"", ""JXPathContext""]","[0.12307692307692308, 0.1076923076923077, 0.07317073170731707]","[7.055384615384615, 4.0430769230769235, 1.9609756097560975]"
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testConstructorLookupWithExpressionContext,0.12307692307692308,0.07022514071294558,0.027692307692307693,0.28090056285178233,0.044390619839260154,0.05576222445716246,0.04315416831010267,7.055384615384615,2.8461726078799248,0.4276923076923077,11.384690431519699,0.7958695498057438,1.4664116747151668,2.7256362192045387,"[""Integer"", ""Locale"", ""NodePointer"", ""ExtensionFunctionTest"", ""ExtensionFunctionTest$Context"", ""Function"", ""Object"", ""Functions""]","[0.12307692307692308, 0.1024390243902439, 0.027692307692307693, 0.027692307692307693]","[7.055384615384615, 3.4585365853658536, 0.4430769230769231, 0.4276923076923077]"
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testStaticMethodLookupWithExpressionContext,0.12307692307692308,0.07022514071294558,0.027692307692307693,0.28090056285178233,0.044390619839260154,0.05576222445716246,0.04315416831010267,7.055384615384615,2.8461726078799248,0.4276923076923077,11.384690431519699,0.7958695498057438,1.4664116747151668,2.7256362192045387,"[""Integer"", ""Locale"", ""NodePointer"", ""ExtensionFunctionTest"", ""ExtensionFunctionTest$Context"", ""Function"", ""Object"", ""Functions""]","[0.12307692307692308, 0.1024390243902439, 0.027692307692307693, 0.027692307692307693]","[7.055384615384615, 3.4585365853658536, 0.4430769230769231, 0.4276923076923077]"
org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest.testStaticMethodLookupWithConversion,0.12307692307692308,0.07022514071294558,0.027692307692307693,0.28090056285178233,0.044390619839260154,0.05576222445716246,0.04315416831010267,7.055384615384615,2.8461726078799248,0.4276923076923077,11.384690431519699,0.7958695498057438,1.4664116747151668,2.7256362192045387,"[""Integer"", ""Locale"", ""NodePointer"", ""ExtensionFunctionTest"", ""ExtensionFunctionTest$Context"", ""Function"", ""Object"", ""Functions""]","[0.12307692307692308, 0.1024390243902439, 0.027692307692307693, 0.027692307692307693]","[7.055384615384615, 3.4585365853658536, 0.4430769230769231, 0.4276923076923077]"
